,41306,,,,,,,41306,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2033  佳大,13205655,1083071,433,12.19,12.2,12,12.45,41323,11.9,41332,1.34
2034  允強,126594736,7245385,3000,17.47,17.4,17.15,18.05,41323,17.05,41332,1.96
2038  海光,28335815,2619162,857,10.82,10.83,10.8,11.1,41330,10.5,41332,1.44
3004  豐達科,43569096,1062232,557,41.02,40.56,39.65,42.35,41310,39.5,41332,4.34
5007  三星,205796604,4550197,1201,45.23,45.42,46.3,46.5,41331,42.5,41306,2.07
9958  世紀鋼,171615377,12875110,3686,13.33,13.12,12.5,13.95,41310,12.4,41332,9.32
11 橡膠工業類,,,,,,,,,,,
Rubber,,,,,,,,,,,
2101  南港,1054694179,30086285,14965,35.06,34.71,34.25,36.1,41306,34.2,41331,3.42
2102  泰豐,831764906,37652124,13323,22.09,21.92,21.15,22.85,41325,21.1,41332,9.34
2103  台橡,1156459381,19005507,11976,60.85,60.82,61,62.8,41328,58.7,41310,2.42
2104  中橡,934158901,28722019,12212,32.52,32.25,33.05,33.4,41332,31.8,41310,5.23
2105  正新,7776084185,98687163,37562,78.8,78.56,80.6,81.1,41328,76.4,41326,3.5
2106  建大,2380906303,55791835,23183,42.67,43.1,44.45,44.95,41332,39.3,41306,7.6
2107  厚生,476417354,21786622,8867,21.87,21.86,21.7,22.35,41325,21.4,41306,4.38
2108  南帝,75728242,3763129,1790,20.12,20.07,20,20.5,41324,19.7,41327,0.99
2109  華豐,44617598,7049748,1001,6.33,6.26,6.43,6.55,41325,6.02,41310,2.19
2114  鑫永銓,130313117,1557442,1108,83.67,83.54,83.3,85.4,41309,82.7,41331,2.54
12 汽車工業類,,,,,,,,,,,
Automobile,,,,,,,,,,,
1338  F-廣華,339358339,3998230,2639,84.88,84.74,85,89.5,41323,77.8,41306,5.63
2201  裕隆,2775332600,51070869,20460,54.34,54.25,53.1,55.3,41328,53,41332,3.25
2204  中華,836477195,30149391,12992,27.74,27.65,27.7,28.45,41325,26.85,41306,2.18
2206  三陽,5232533804,219275786,45255,23.86,23.95,24.35,25.2,41326,21.05,41306,24.46
2207  和泰車,1024598641,4425712,3778,231.51,230.88,226,239,41311,223,41331,0.81
2227  裕日車,715447056,2734919,2046,261.6,261.12,252,270,41325,250,41332,0.91
14 建材營造類,,,,,,,,,,,
Building Material and Construction,,,,,,,,,,,
1436  福益,369745433,6812447,166,54.27,53.73,52.5,54.9,41324,52,41331,11.35
1442  名軒,516689197,17197558,5505,30.04,29.82,30.05,31.4,41311,28.6,41328,8.34
1805  寶徠,114292219,8800352,4944,12.99,12.77,14.3,14.95,41330,11.2,41310,10.96
1808  潤隆,115930884,3376402,1755,34.34,34.26,34.3,35.3,41323,33.5,41306,2.33
2501  國建,478307705,32088664,9862,14.91,14.85,15.2,15.45,41332,14.6,41310,1.94
2504  國產,555293561,47285931,10641,11.74,11.68,11.6,12.05,41325,11.45,41306,3.11
2505  國揚,818267666,47533861,11749,17.21,17.12,17.25,17.75,41328,16.5,41306,11.64
2506  太設,144687423,15300816,3667,9.46,8.88,9.67,10.4,41330,8.18,41309,3.73
2509  全坤建,38303775,1976052,775,19.38,19.36,19.4,19.7,41323,19.05,41332,1.3
2511  太子,1808614939,86158705,27193,20.99,20.78,20.3,21.95,41311,20.3,41332,7.21
2515  中工,4351391733,488975892,82374,8.9,8.61,9.06,9.55,41328,7.99,41306,32.06
2516  新建,101242695,11792999,2855,8.58,8.54,8.56,8.82,41325,8.33,41306,5.08
2520  冠德,1942611158,76324442,28306,25.45,25.24,25.8,26.9,41326,24.2,41306,15.3
2524  京城,491576198,15510329,4407,31.69,31.61,31.45,33,41323,30.4,41306,4.13
2527  宏璟,47121451,3602807,1369,13.08,13.03,12.95,13.4,41323,12.8,41332,1.33
2528  皇普,6381654,570406,271,11.19,10.7,10.25,12.65,41309,10,41330,0.57
2530  華建,59187238,6181578,2158,9.57,9.47,9.3,9.99,41310,9.26,41332,2.28
2534  宏盛,2793991840,133987109,38249,20.85,20.67,20.5,22.4,41326,19.05,41309,22.74
2535  達欣工,288139976,13187943,4884,21.85,21.77,22.2,22.75,41330,20.5,41309,4.95
2536  宏普,295429064,9724882,4945,30.38,30.34,30.55,31.1,41323,30,41331,3.05
2537  聯上發,90534397,5701236,1825,15.88,15.74,15.85,16.4,41326,15.3,41309,4.01
2538  基泰,878147486,39818796,13224,22.05,21.84,21.2,23.2,41311,20.8,41332,10.04
2539  櫻花建,6158046,299679,153,20.55,20.53,20.65,20.9,41324,20.1,41330,0.18
2542  興富發,2274842712,36092211,22261,63.03,62.77,62,66.3,41324,60.7,41306,6.03
2543  皇昌,56732276,6616376,1932,8.57,8.62,8.63,8.95,41323,8.03,41306,3.7
2545  皇翔,1278607416,16653115,9653,76.78,76.06,74.7,78.5,41323,74,41327,5.08
2546  根基,28004130,2151933,628,13.01,12.99,13,13.3,41326,12.75,41309,2.03
2547  日勝生,3681682444,134866706,45307,27.3,26.99,26,28.75,41311,25.7,41327,16.65
2548  華固,1866949405,24917491,14462,74.93,74.14,73.5,78.5,41311,71,41327,9
2597  潤弘,26814427,640847,456,41.84,41.98,42.5,42.5,41332,40.5,41306,0.47
2841  台開,276252685,24336036,5212,11.35,11.3,11.25,11.7,41311,11.05,41332,3.71
2923  F-鼎固,472630807,16042531,6412,29.46,29.28,28.3,31.45,41326,27.95,41331,0.93
3056  總太,437558180,16603105,5879,26.35,26.2,25.75,27,41323,25.35,41306,12.43
3703  欣陸,127664776,11035269,2981,11.57,11.56,11.55,11.7,41326,11.4,41306,1.31
5515  建國,319457670,21524232,6471,14.84,14.71,14.65,15.15,41311,14.5,41331,5.98
5521  工信,387653337,34349631,5778,11.29,11.23,11.85,11.85,41332,10.8,41327,9.88
5522  遠雄,1552749837,26957392,16549,57.6,57.13,56.3,59.6,41324,54.6,41306,3.49
5525  順天,103778876,5452472,1515,19.03,18.93,19,19.45,41306,18.6,41310,2.33
5531  鄉林,253177987,10522246,4567,24.06,23.86,23.75,24.9,41323,23.3,41306,1.88
5533  皇鼎,129706820,6175370,1967,21,21,21.1,21.45,41323,20.6,41331,2.72
5534  長虹,4376078923,43068852,20102,101.61,100.93,99.6,108,41323,97,41309,17.4
15 航運業類,,,,,,,,,,,
Shipping and Transportation,,,,,,,,,,,
2208  台船,170128951,9545077,4186,17.82,17.86,17.7,18.1,41309,17.6,41331,1.28
2601  益航,643255289,27256829,11652,23.6,23.45,23.2,24.3,41325,23.05,41323,7.22
2603  長榮,2217021958,116235004,27566,19.07,18.93,18.95,20.1,41328,18.05,41324,3.34
2605  新興,197385372,7313967,3746,26.99,27.05,26.7,27.4,41325,26.5,41331,1.29
2606  裕民,697666883,14877533,8409,46.89,46.96,46,47.8,41306,45.2,41331,1.73
2607  榮運,1221406498,59938527,19058,20.38,20.26,20.1,20.95,41325,19.55,41306,5.62
2608  大榮,476065171,10015348,2331,47.53,46.72,46.5,48.2,41323,45.95,41327,2.07
2609  陽明,1800371320,125713979,31632,14.32,14.19,14.05,14.95,41328,13.65,41324,4.46
2610  華航,1632415571,130383295,29207,12.52,12.44,12.2,13.1,41309,12.15,41331,2.51
2611  志信,37284784,2510467,994,14.85,14.81,14.6,15.2,41309,14.55,41332,1.45
2612  中航,86508931,2314598,1551,37.38,37.4,36.5,38.45,41326,36.25,41331,0.9
2613  中櫃,226026028,10872604,5055,20.79,20.53,20.25,21.45,41325,19.9,41306,12.22
2614  東森,368283783,84379190,10189,4.36,4.26,4.45,4.7,41330,4,41311,5.95
