105年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2016,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
2611,志信,"175,604,485","24,152,071",7.24,13.69
,TSI,,,,
2612,中航,"3,784,843,844","136,139,952",23.8,63.08
,CMT,,,,
2613,中櫃,"448,562,848","32,869,359",13.33,31.49
,CCTC,,,,
2615,萬海,"23,766,245,651","1,342,271,537",17.03,60.51
,WANHAI,,,,
2617,台航,"1,440,782,372","108,640,773",12.69,26.03
,TAIWANLINE,,,,
2618,長榮航,"44,847,082,649","2,778,010,195",15.71,70.9
,EVAAIR,,,,
2633,台灣高鐵,"6,522,515,632","317,213,912",18.99,12.07
,THSRC,,,,
2634,漢翔,"21,749,405,015","512,417,578",41.78,56.41
,AIDC,,,,
2636,台驊控股,"115,705,020","5,266,701",21.79,4.43
,T3EX,,,,
2637,慧洋-KY,"7,491,679,242","221,347,499",33.81,42.08
,WISDOM,,,,
2642,宅配通,"634,739,287","24,097,277",25.69,25.24
,Pelican,,,,
5607,遠雄港,"477,529,316","33,297,073",14.17,19.6
,Farglory FTZ,,,,
5608,四維航,"907,657,666","88,927,218",10.3,20.99
,S. W.,,,,
16,觀光事業類,,,,
,Tourism,,,,
2701,萬企,"288,209,435","19,965,134",14.08,4.91
,WANHWA,,,,
2702,華園,"185,517,882","11,212,839",16.42,11.72
,HG,,,,
2704,國賓,"833,533,309","32,942,477",25.57,8.98
,AMBH,,,,
2705,六福,"778,877,826","82,501,513",9.13,24.77
,LEOFOO,,,,
2706,第一店,"900,145,951","49,039,901",17.73,11.23
,First Hotel,,,,
2707,晶華酒店,"13,931,540,805","72,821,824",189.34,57.47
,GFRT,,,,
2712,遠雄來,"100,661,271","3,924,797",25.6,3.73
,FGH,,,,
2722,夏都,"153,659,541","3,573,313",43.09,3.56
,Chateau,,,,
2723,美食-KY,"21,633,600,263","80,270,283",273.58,55.79
,Gourmet,,,,
2727,王品,"14,300,113,373","108,466,387",130.07,140.88
,WOWPRIME,,,,
2731,雄獅旅遊,"4,015,464,187","41,663,819",90.62,59.51
,Liontravel,,,,
