櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"104年6月  Jun., 15",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值：507,779,256,098元",,,,,,"3. 櫃檯買賣月總成交筆數：4,425,719筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,327,078,947股",,,,,,4. 成交量週轉率：12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量     （ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　                         Average Price （NTD / Share）,,,,月底收盤價    End of Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均  Average,最　高  Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6186,新潤,"38,064,811","1,404,377",795,27.10,27.80,26.50,27.30,27.00,7.71 ,11.11,2.15,1.46
6212,理銘,"42,167,983","1,552,879",49,27.15,30.30,28.30,29.59,29.90,N/A,0.00,1.52,2.98
6219,富旺,"60,524,144","4,126,356","1,754",14.67,18.05,11.95,13.45,12.00,10.17 ,20.08,2.35,0.88
6264,富裔,"6,676,783","896,208",313,7.45,8.40,6.80,7.61,7.28,N/A,0.00,0.65,1.17
8424,惠普,"30,710,407","664,085",491,46.24,48.00,44.75,46.18,46.30,11.21 ,5.40,1.84,1.93
2636,台驊,"476,738,139","15,739,478","7,822",30.29,33.70,28.00,29.80,29.65,13.12 ,0.00,15.51,1.42
2641,正德,"16,297,995","1,646,908",609,9.90,10.55,9.41,9.95,9.85,28.97 ,2.03,1.38,0.81
5601,台聯櫃,"601,868","22,875",28,26.33,27.45,24.50,26.94,27.45,26.14 ,2.55,0.04,1.26
5603,陸海,"66,188,941","3,341,428","1,423",19.81,21.00,19.15,19.83,19.45,7.26 ,10.28,4.48,1.20
5604,中連貨,"10,868,854","291,226",112,37.32,38.00,35.00,37.40,36.00,28.80 ,5.00,0.27,1.72
5609,中菲行,"33,411,398","1,755,106",916,19.04,20.25,18.05,19.09,18.95,11.42 ,5.38,1.36,1.22
