103年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2014,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
2029,盛餘,"1,164,100,165 ","50,482,789 ",22.24 ,15.71 
,Sheng Yu Steel,,,,
2030,彰源,"4,865,135,626 ","372,154,488 ",11.95 ,136.38 
,FROCH,,,,
2031,新光鋼鐵,"3,266,943,074 ","170,659,072 ",18.62 ,61.59 
,Hsin Kuang Steel,,,,
2032,新鋼工業,"1,564,983,579 ","126,205,809 ",11.85 ,96.68 
,Sinkang,,,,
2033,佳大世界,"646,774,347 ","57,819,155 ",10.03 ,71.66 
,Chia Ta,,,,
2034,允強,"15,442,116,445 ","563,558,856 ",26.31 ,152.27 
,YC,,,,
2038,海光企業,"803,371,694 ","84,502,556 ",9.00 ,48.93 
,HAIKWANG,,,,
3004,豐達科技,"8,931,153,932 ","132,390,721 ",58.77 ,315.78 
,NAFCO,,,,
5007,三星科技,"11,242,366,438 ","138,317,694 ",80.98 ,56.76 
,SAN SHING,,,,
5538,F-東明,"2,278,397,167 ","80,129,773 ",28.52 ,47.70 
,TONG MING,,,,
9958,世紀鋼,"2,496,643,390 ","185,184,667 ",12.41 ,103.25 
,CIAS,,,,
11,橡膠工業類,,,,
,Rubber,,,,
2101,南港輪胎,"18,235,137,883 ","516,562,142 ",34.73 ,59.11 
,Nan Kang Rubber Tire,,,,
2102,泰豐輪胎,"6,024,718,421 ","281,596,985 ",20.66 ,64.33 
,FEDERAL CORP,,,,
2103,台橡,"11,172,980,475 ","278,952,126 ",40.66 ,34.52 
,TSRC,,,,
2104,中國橡膠,"9,211,585,672 ","301,791,579 ",30.01 ,54.94 
,China Synthetic Rubber,,,,
2105,正新橡膠,"129,593,535,912 ","1,687,262,796 ",75.94 ,52.04 
,CST,,,,
2106,建大工業,"46,186,696,212 ","694,193,545 ",66.50 ,87.70 
,Kenda Rubber Ind.,,,,
2107,厚生,"14,141,846,066 ","464,574,001 ",30.42 ,93.42 
,Formosan Rubber Group,,,,
2108,南帝化工,"983,323,386 ","56,112,466 ",17.52 ,13.78 
,Nantex,,,,
2109,華豐橡膠,"9,534,906,042 ","426,822,174 ",21.94 ,139.11 
,Hwa Fong,,,,
2114,鑫永銓,"4,322,116,866 ","40,652,743 ",104.79 ,64.71 
,HYC,,,,
2115,F-六暉,"11,658,807,243 ","198,805,506 ",54.00 ,286.87 
,LU HAI,,,,
12,汽車工業類,,,,
,Automobile,,,,
1338,F-廣華,"17,329,888,216 ","151,463,646 ",111.48 ,186.51 
,Hiroca,,,,
2201,裕隆汽車,"29,100,826,229 ","592,187,384 ",48.05 ,37.65 
,Yulon Motor,,,,
2204,中華汽車,"7,969,053,455 ","282,603,284 ",28.07 ,20.43 
,China-Motor,,,,
2206,三陽工業,"59,206,354,548 ","1,828,942,622 ",34.58 ,203.98 
,Sanyang Industry,,,,
2207,和泰汽車,"25,407,210,070 ","63,385,566 ",396.59 ,11.63 
,Hotai Motor,,,,
2227,裕日車,"24,974,201,192 ","70,588,263 ",354.53 ,23.53 
,YNM,,,,
14,建材營造類,,,,
,Building Material and Construction,,,,
1436,華友聯,"437,928,159 ","9,061,595 ",48.86 ,15.11 
,HUA YU LIEN,,,,
1438,裕豐,"346,601,535 ","52,451,354 ",6.24 ,51.22 
,Yu Foung,,,,
1442,名軒,"3,096,757,397 ","94,096,038 ",31.20 ,44.34 
,ADVANCETEK,,,,
1805,寶徠建設,"370,128,624 ","27,516,673 ",12.53 ,34.29 
,KPT,,,,
1808,潤隆,"1,218,899,372 ","41,490,161 ",29.32 ,23.23 
,RUN LONG,,,,
2501,國建,"4,950,425,713 ","282,436,088 ",17.20 ,17.05 
,Cathay Const.,,,,
2504,國產,"5,393,318,978 ","486,024,312 ",11.04 ,32.00 
,CATHAYRED GDC,,,,
2505,國揚,"5,120,457,070 ","328,955,952 ",15.19 ,65.36 
,Ky,,,,
2506,太設,"1,970,612,942 ","172,952,718 ",10.41 ,43.98 
,PCC,,,,
2509,全坤建,"852,107,123 ","34,037,651 ",24.60 ,22.41 
,CHAINQUI,,,,
2511,太子,"8,890,740,584 ","630,672,340 ",13.70 ,39.60 
,PHD,,,,
2515,中工,"5,864,854,559 ","722,243,323 ",8.05 ,47.35 
,BES,,,,
2516,新建,"755,170,739 ","92,126,294 ",8.07 ,38.96 
,New Asia,,,,
2520,冠德,"21,917,251,936 ","736,821,232 ",29.49 ,146.27 
,Kindom,,,,
2524,京城,"1,449,657,685 ","55,323,995 ",26.20 ,14.72 
,KTC,,,,
2527,宏璟,"1,238,812,726 ","69,115,901 ",17.35 ,25.59 
,Hung Ching,,,,
2528,皇普,"1,032,442,244 ","75,208,085 ",13.26 ,62.90 
,CROWELL,,,,
2530,華建,"4,109,259,541 ","254,658,779 ",14.49 ,94.06 
,Delpha Construction,,,,
2534,宏盛,"7,178,560,880 ","337,101,688 ",20.75 ,57.23 
,HSC,,,,
2535,達欣工,"2,829,421,523 ","111,988,359 ",24.75 ,50.98 
,DA CIN,,,,
2536,宏普,"2,216,081,061 ","86,072,528 ",25.89 ,26.34 
,Hung Poo,,,,
2537,聯上開發,"1,066,303,528 ","79,234,208 ",13.18 ,34.45 
,WE &WIN,,,,
2538,基泰,"5,096,358,906 ","258,117,726 ",19.48 ,63.15 
,Kee Tai,,,,
2539,櫻花建,"290,560,466 ","7,924,031 ",36.34 ,3.66 
,SAKURAD,,,,
2540,愛山林,"106,659,826 ","2,597,265 ",45.48 ,15.21 
,I- Sunny,,,,
2542,興富發,"40,179,491,869 ","658,681,256 ",61.98 ,85.84 
,Highwealth,,,,
2543,皇昌,"947,169,242 ","99,644,414 ",9.25 ,55.66 
,Hwang Chang,,,,
2545,皇翔,"6,852,659,715 ","150,755,690 ",44.72 ,45.99 
,Huang Hsiang,,,,
2546,根基,"493,711,296 ","29,348,867 ",16.53 ,27.66 
,Kedge,,,,
2547,日勝生,"17,850,619,056 ","809,516,807 ",21.10 ,93.63 
,Radium,,,,
2548,華固,"21,252,142,026 ","313,371,477 ",68.07 ,113.22 
,HUAKU,,,,
2597,潤弘精密,"2,996,768,551 ","44,674,600 ",64.91 ,33.10 
,REC,,,,
2841,台開,"4,384,017,118 ","386,412,877 ",11.25 ,58.44 
,TDC,,,,
2923,F-鼎固,"1,697,085,999 ","61,151,864 ",25.94 ,3.53 
,Sino Horizon,,,,
3052,夆典,"4,499,848,490 ","250,491,901 ",16.18 ,120.49 
,APEX,,,,
3056,總太地產,"4,169,207,212 ","161,235,317 ",23.74 ,102.51 
,ZongTai,,,,
3266,昇陽,"94,910,612 ","4,380,065 ",21.20 ,1.24 
,SUNTY,,,,
3703,欣陸,"2,921,695,244 ","254,512,526 ",11.38 ,29.64 
,CONTINENTAL,,,,
5515,建國,"1,178,036,146 ","89,338,773 ",12.91 ,24.80 
,CHIEN KUO,,,,
5519,隆大,"1,405,274,498 ","50,848,129 ",26.72 ,32.19 
,LD,,,,
5521,工信,"2,893,473,161 ","215,360,592 ",13.14 ,61.97 
,KSECO,,,,
5522,遠雄建設,"15,055,137,294 ","364,479,930 ",42.80 ,43.62 
,Farglory,,,,
5525,順天,"550,162,464 ","28,734,619 ",19.28 ,11.89 
,SWEETEN,,,,
5531,鄉林建設,"3,841,864,952 ","162,974,292 ",22.79 ,24.13 
,SHINING,,,,
