101年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2012,,,,,
證     券     名     稱,,"成   交   值
(單位：元)","成   交   量
(單位：股)",收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
2516,新建,"1,645,462,538 ","189,046,343 ",8.62 ,83.70 
,New Asia,,,,
2520,冠德,"17,857,274,928 ","936,021,917 ",18.82 ,189.12 
,Kindom,,,,
2524,京城,"5,576,360,564 ","195,808,471 ",26.77 ,53.30 
,KTC,,,,
2527,宏璟,"2,046,239,982 ","157,245,025 ",12.55 ,58.18 
,Hung Ching,,,,
2528,皇普,"38,599,104 ","4,003,082 ",9.52 ,4.00 
,CROWELL,,,,
2530,華建,"976,768,650 ","99,616,022 ",9.43 ,37.26 
,Delpha Construction,,,,
2534,宏盛,"4,584,946,880 ","292,380,531 ",15.21 ,49.52 
,HSC,,,,
2535,達欣工,"2,386,561,846 ","126,124,376 ",18.57 ,47.31 
,DA CIN,,,,
2536,宏普,"10,328,272,880 ","380,169,805 ",26.74 ,119.13 
,Hung Poo,,,,
2537,聯上開發,"442,293,648 ","29,770,327 ",14.82 ,52.66 
,WE &WIN,,,,
2538,基泰,"10,768,785,476 ","631,648,733 ",16.54 ,159.26 
,Kee Tai,,,,
2539,櫻花建,"167,697,140 ","8,526,956 ",19.54 ,5.51 
,SAKURAD,,,,
2542,興富發,"28,586,600,039 ","565,338,514 ",49.52 ,78.94 
,Highwealth,,,,
2543,皇昌,"226,433,702 ","37,464,620 ",5.79 ,20.93 
,Hwang Chang,,,,
2545,皇翔,"33,419,036,776 ","510,522,887 ",63.54 ,155.76 
,Huang Hsiang,,,,
2546,根基,"521,514,879 ","36,861,285 ",13.68 ,34.21 
,Kedge,,,,
2547,日勝生,"27,622,268,226 ","1,222,744,091 ",21.28 ,158.63 
,Radium,,,,
2548,華固,"24,678,727,304 ","356,752,481 ",68.49 ,130.02 
,HUAKU,,,,
2597,潤弘精密,"896,631,253 ","25,722,528 ",35.38 ,19.05 
,REC,,,,
2841,台開,"5,745,830,890 ","470,048,799 ",11.87 ,75.38 
,TDC,,,,
2923,F-鼎固,"891,288,208 ","33,733,352 ",26.01 ,1.96 
,Sino Horizon,,,,
