櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年3月 Mar., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 394,896,730,495元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,375,348筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,181,868,705股",,,,,,4. 成交量週轉率： 15.41%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
8938,明安國際,375301082,9464066,5126,39.65,42.5,35.6,39.44,39.1,34,6.65,7.01,1.51,,
8942,森鉅科技,2426288380,39913489,20464,60.78,64,55.5,60.52,57.6,15.65,1.67,30.65,2.71,,
9949,琉園    ,25643196,1083876,797,23.65,25.5,21.65,23.67,22.15,37.54,5.42,2.31,1.31,,
1742,台蠟    ,67015203,3435464,2216,19.5,22.4,17.65,19.78,18.15,62.59,16.53,5.31,1.4,,
1787,福盈科技,344235342,22042693,8358,15.61,17.75,13.1,15.26,13.75,52.88,5.02,31.6,0.92,,
4702,中美聯合,44338991,2354610,1384,18.83,20.25,16.2,18.04,17.2,N/A,0,3.08,2.31,,
4703,金美克能,132450306,9419025,3124,14.06,16.5,11.5,13.44,12.4,103.33,0,13.77,2.09,,
4706,大恭化學,21232481,1483624,603,14.31,15.15,13.5,14.22,15.05,11.58,6.64,1.88,0.9,,
4707,磐亞    ,152100714,13808057,4567,11.01,11.95,9.21,10.9,9.52,24.41,0,6.12,0.56,,
4711,永純    ,8633581,492723,318,17.52,17.9,17.05,17.66,17.6,17.09,7.95,0.81,0.94,,
4712,南璋    ,614545813,11539356,5918,53.25,58,47.6,52.34,48.7,15.36,0,19.2,3.59,,
4714,永捷    ,16687492,1129757,521,14.77,15.4,13.8,14.77,14.2,13.03,7.04,2.66,0.98,,
4716,大立    ,862316958,33452542,15032,25.77,29.2,21.8,25.33,24,18.9,4.17,55.47,1.84,,
4720,德淵企業,376953638,22275592,6948,16.92,18.05,15.6,16.62,16,19.75,1.25,31.96,1.21,,
4721,美琪瑪  ,108062892,4260965,2455,25.36,26.8,24.4,25.2,25.55,14.44,9.28,5.68,1.76,,
4722,國精化學,1088748863,37047836,12072,29.38,32.2,25.5,28.82,29.5,20.77,2.68,49.64,1.79,,
4739,康普    ,93671766,3378967,1696,27.72,29.6,24.6,26.58,25.45,15.91,3.93,6.95,1.28,,
6506,雙邦實業,43807452,2979321,1224,14.7,16.2,13.1,14.61,14.65,40.69,6.83,4.74,1.2,,
6509,聚和國際,189994212,13078774,5741,14.52,15.7,12.6,14.4,13.3,57.83,2.26,7.8,0.82,,
1565,精華光學,2790052722,7209410,6386,387,413,361,388.21,383,18.1,3.79,14.3,6.85,,
1752,南光    ,181982458,6183180,3609,29.43,32.1,27.05,28.66,28.7,287,0,9.81,2.25,,
1777,生泰合成,46830751,925471,707,50.6,52.9,48.1,50.79,51.5,22.39,4.47,3.89,2.52,,
1781,合世生醫,31494582,2057433,921,15.3,16.2,13.7,15.15,14.3,N/A,0,4.89,1.45,,
1784,訊聯    ,146817267,3523508,2272,41.66,45.5,37.4,41.84,39.15,87,0,7.02,1.82,,
1788,杏昌生技,277429427,3496952,2746,79.33,86,71,79.38,72.5,17.9,4.83,9.99,1.93,,
1795,美時化學,238794382,8076653,4546,29.56,31.4,26.8,28.53,28.5,N/A,1.05,18.12,2.13,,
1799,紅電醫  ,14530417,1247525,665,11.64,13.15,10.45,11.61,10.55,N/A,0,3.92,1.04,,
1813,寶利徠  ,35498073,1077170,615,32.95,34.5,30.6,32.96,32.8,18.02,4.57,2.62,2.03,,
3118,進階    ,63146257,2081794,1379,30.33,32.35,28.6,29.57,30.1,16.18,6.64,6.41,1.98,,
3176,基亞    ,3675498720,57612128,32492,63.79,71,57.5,62.2,61.6,N/A,0,52.06,7.66,,
3205,佰研生化,4614376,252235,170,18.29,19.5,16.5,18.2,17.25,N/A,0,1.02,1.68,,
3218,大學光學,582147285,20658852,11049,28.17,30.85,23.65,27.63,24.9,59.29,0,31.04,1.46,,
3266,昇陽開發,174979690,9893143,3933,17.68,20.5,15.5,17.3,15.7,10.47,0,8.03,1.14,,
4102,永日化工,741593177,15215391,10223,48.73,54.5,39.5,48,41.7,21.61,4.8,35.91,2.19,,
4103,百略    ,95977046,1921804,1460,49.94,51.5,49,49.67,49.85,12.98,6.02,1.57,2.2,,
4105,東洋藥品,8221807272,63503574,34710,129.46,141,119,129.97,126,41.58,2.06,36.8,7.99,,
4107,邦特生技,140176846,5148656,2945,27.22,28.5,25.5,27.19,26.2,15.98,6.87,6.58,1.65,,
4109,加捷    ,76807308,3973746,2335,19.32,20.8,17.5,18.95,18.1,50.28,3.26,7.83,1.38,,
4111,濟生    ,375918414,15343702,5249,24.49,25.85,20,23.46,20.95,42.76,2.39,30.58,1.29,,
4114,健喬信元,229416990,7443976,3956,30.81,32.3,28.7,30.85,30.8,N/A,1.98,8.63,2.4,,
4120,友華生技,285542088,6592096,4430,43.31,48.5,37.6,42.49,38.85,18.68,1.67,7.6,1.57,,
4121,優盛醫學,33813257,2462882,1270,13.72,14.25,12.1,13.63,12.4,28.84,6.45,3.36,0.82,,
4123,晟德    ,1353991830,31735739,16024,42.66,45.95,37.4,41.91,42,97.67,2.98,32.39,2.49,,
4126,太平洋醫,459528274,4998009,3789,91.94,95.4,85,91.39,87.6,16.25,4.7,8.33,3.48,,
4127,天良    ,108043319,6103730,2595,17.7,18.7,15.6,17.26,15.9,N/A,0,13.34,1.01,,
4128,中天生技,1899187789,48695823,25163,39,41.55,35.55,38.75,36.85,36.13,6.78,17.77,2,,
4129,聯合骨科,163640592,4430449,2631,36.93,38.65,34.5,36.82,35.55,28.44,1.91,9.56,2.51,,
4130,健亞    ,2170463865,55919878,31891,38.81,42.8,34.35,37.95,38.5,59.23,0,57.7,4.01,,
4131,晶宇生技,32532856,1966217,1275,16.54,18.7,13.3,15.91,13.65,N/A,0,4.07,2.34,,
4138,曜亞國際,434520139,3790696,2710,114.62,127,106,114.58,109,18.66,4.59,14.3,2.97,,
4139,F-馬光  ,40988068,551673,459,74.29,83,71.3,75.35,72,41.14,0,2.76,4.26,,
4154,F-康樂  ,192199351,3605921,2709,53.3,60.3,44.1,52.59,45.6,13.49,4.23,16.54,2.93,,
