櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年8月 Aug., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,838,048,868元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,608,643筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,817,722,221股",,,,,,4. 成交量週轉率： 8.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6195,詩肯    ,259567670,4909891,3299,52.86,58.5,49,51.3,49.2,8.424657534,10.16,12.32,2.55
8941,關中    ,2300320,360370,120,6.38,6.78,6.25,6.42,6.35,N/A,0,0.28,1.7
9960,邁達康  ,20916238,1080735,608,19.35,20.3,17.7,19.06,18.25,11.40625,7.67,3.22,1.28
1584,精剛精密,330714025,16749519,5553,19.74,20.6,18.85,19.64,18.9,57.27272727,1.05,21.07,1.01
2221,大甲    ,77733892,4008808,1154,19.39,20.15,18.3,18.77,19.8,15,0,9.45,1.41
3284,太普高  ,272276482,20774488,4798,13.1,13.6,12.25,12.86,12.35,33.37837838,8.9,41.28,0.97
4430,耀億    ,89835806,2419167,1589,37.13,39.5,35.5,37.3,36.3,17.12264151,3.58,4.83,1.23
5304,鼎創達  ,12347939,2236122,1031,5.52,6.05,4.51,5.19,5.31,11.54347826,0,1.2,1
5312,寶島科  ,1152566407,14781292,9821,77.97,83.9,67.6,78.54,79,17.79279279,3.29,24.61,3.64
5530,龍巖    ,2214739390,22616438,14438,97.92,100.5,93.6,97.2,97.4,17.80621572,3.08,5.67,5.01
6186,新潤興業,7481294,450543,197,16.6,17.1,15.6,16.65,16.5,126.9230769,0,0.79,1.44
6294,智基科技,12280823,264941,232,46.35,53,38.8,43.93,49,16.78082192,0,1.73,5.54
6803,崑鼎投控,62079879,452427,432,137.21,139.5,135.5,137.29,136,14.99448732,6.05,0.75,2.89
8390,金益鼎  ,256598130,7247562,3917,35.4,38.8,31.35,35.65,32.35,14.83944954,6.64,9.96,1.39
8401,白紗科技,21247993,1242977,832,17.09,18.15,16.45,17.14,16.5,7.894736842,7.81,2.79,1.03
8418,F-必勝  ,229027651,6453894,3269,35.48,40.1,29.4,37.01,31.8,6.898047722,9.43,10.58,0.9
8423,F-保綠  ,25639050,788003,243,32.53,35.4,30.4,32.72,33.3,30.83333333,0,4.7,2.12
8426,F-紅木  ,17981405,412351,380,43.6,45.2,41.5,43.34,43,10.4368932,8.13,0.98,2.35
8705,東隆五金,30725385,768900,573,39.96,40.9,38.8,40.05,40.2,16.61157025,4.47,0.95,2.63
8905,裕國    ,62608754,3504827,1166,17.86,18.3,17.3,17.81,18.05,22.5625,3.32,2.93,1.24
8906,花王企業,11758217,1387962,564,8.47,9.25,7.38,8.46,8.87,N/A,0,2.7,1.04
8913,華夏資融,77601989,5992406,1411,12.95,13.65,11.8,12.77,13.3,9.300699301,3,12.06,0.86
8916,光隆    ,40913642,2071107,955,19.75,20.8,17.9,19.04,20.15,7.933070866,4.96,2.31,0.98
8921,沈氏印刷,1798057,109038,67,16.49,17,15.35,16.27,16.5,14.47368421,4.84,0.23,0.94
8923,時報出版,325476,19288,50,16.87,17.3,16.3,16.85,16.7,16.53465347,5.98,0.06,1.13
8924,大田精密,28145940,1352670,873,20.8,22,19.8,20.95,20.1,25.44303797,2.98,1.12,1.13
8925,偉盟工業,973245987,62829112,7004,15.49,16.05,15.15,15.51,15.45,N/A,1.29,21.95,1.21
8928,鉅明    ,55370204,6139218,1707,9.01,9.68,8.3,8.78,9.05,N/A,0,9.66,0.92
8929,富堡工業,23052691,745875,543,30.9,33,28.5,30.67,32.5,9.558823529,5.53,2.73,1.53
8932,宏大    ,3678264,524299,243,7.01,7.72,6.4,6.91,7.4,35.23809524,0,1.07,0.87
8933,愛地雅  ,131949574,12342217,4187,10.69,11.15,10.1,10.61,10.75,11.55913978,7.34,9.48,0.77
8934,衡平    ,295005,8181,19,36.04,37.9,34.15,36.17,35.45,7.808370044,4.42,0.14,2.39
8935,邦泰    ,59787995,12934054,2653,4.62,5.05,3.91,4.4,4.5,N/A,0,6.41,0.58
8936,國統國際,789199680,31588892,13042,24.98,31.85,21.95,24.43,22.1,21.25,18.05,18.2,0.81
8937,合騏    ,7258394,753397,406,9.63,10,8.81,9.72,9.8,N/A,0,1.04,0.91
8938,明安國際,361261735,8932081,5111,40.44,42.9,37.3,39.67,41.7,15.67669173,2.63,6.65,1.53
8942,森鉅科技,739033650,13322962,6981,55.47,56.9,53.8,55.19,55.6,12.30088496,3.68,9.21,2.49
9949,琉園    ,19229474,928984,574,20.69,21.75,19.65,20.64,20.6,22.15053763,5.82,1.98,1.22
1742,台蠟    ,19840343,1366769,762,14.51,15.4,14.05,14.53,14.15,N/A,21.2,2.11,1.11
1787,福盈科技,70305950,5839932,2083,12.03,12.65,11,11.62,11.85,26.33333333,3.71,8.37,0.79
4702,中美聯合,34916915,1846947,991,18.9,20.25,16.05,18.57,17.55,N/A,0,2.42,2.36
4703,揚華科技,89369742,6847030,2628,13.05,14,12.2,12.82,13,7.514450867,0,10.01,1.68
4706,大恭化學,13999750,1009696,362,13.86,14.35,12.8,13.88,14,11.47540984,7.14,1.28,0.83
4707,磐亞    ,52408373,6455600,2079,8.11,8.41,7.71,8.08,8.17,43,0,2.86,0.47
4711,永純    ,7371736,454711,231,16.21,16.45,15.95,16.3,16.45,36.55555556,6.07,0.74,0.86
4714,永捷    ,22967492,1755241,743,13.08,14.9,12,13.21,12.8,17.77777778,3.9,4.14,0.88
4716,大立    ,409212785,18954674,8202,21.58,22.9,16.95,19.69,22,19.81981982,4.68,29.37,1.65
4720,德淵企業,45181211,3189690,1452,14.16,14.9,13.35,14.07,14.7,13.24324324,5.1,4.36,1.1
4721,美琪瑪  ,89232126,3371430,2050,26.46,27.5,23.5,25.91,26,19.40298507,9.11,4.5,1.79
4722,國精化學,33085202,1245214,690,26.56,27.6,25.65,26.3,27.3,#N/A,3.66,1.7,1.63
4739,康普    ,11790655,533551,378,22.09,23.4,20.7,21.51,21.9,21.05769231,4.56,1.1,1.1
6506,雙邦實業,8972462,747250,384,12,12.55,11.15,11.94,12,52.17391304,8.33,1.19,0.95
6509,聚和國際,135990654,10659514,3941,12.75,13.45,11.7,12.42,12.95,20.55555556,2.31,6.23,0.81
1565,精華光學,1154997508,3288907,3203,351.17,365,340,351.77,354,16.56527843,4.37,6.52,5.81
1593,祺驊    ,163578110,5558554,2935,29.42,31.65,26.15,28.46,29.25,15.89673913,6.15,22.6,1.11
1752,南光    ,362846875,11172371,5953,32.47,35.3,29.4,30.75,34.25,46.91780822,0.58,17.73,2.62
1777,生泰合成,28558524,627799,506,45.48,47.5,43.9,45.35,44.8,20.456621,3.34,2.52,2.11
1781,合世生醫,59650755,2242932,1062,26.59,29.25,24.4,26.22,27.85,79.57142857,0,5.33,2.98
1784,訊聯    ,853350312,17668976,11567,48.29,51,44.7,47.09,46.45,64.51388889,0,35.19,2.12
1788,杏昌生技,233064951,3100732,2317,75.16,78,73,74.85,74.4,18.14634146,4.7,8.86,1.91
1795,美時化學,93646858,3784023,2268,24.74,25.95,23.15,24.02,24.15,N/A,1.24,8.49,1.93
1799,紅電醫  ,11896989,1258333,737,9.45,10.4,8.19,8.96,9.5,N/A,0,3.95,1.01
1813,寶利徠  ,158669889,4117202,2359,38.53,42.5,33.35,37.02,39.9,16.15384615,3,10.01,2.35
3118,進階    ,100609080,3290640,2134,30.57,32.3,28.65,29.85,30.6,19.125,6.53,10.14,1.97
3176,基亞    ,1135553654,17315506,11061,65.58,69.9,61.7,64.7,67.6,N/A,0,13.46,8.89
3205,佰研生化,1875506,122143,113,15.35,16.4,14.65,15.2,15.2,N/A,0,0.49,1.46
3218,大學光學,351607516,14816096,7790,23.73,25.55,21.4,23.06,22.7,N/A,0,22.26,1.32
4102,永日化工,173207084,4774326,3332,36.27,38.3,34.55,35.78,35.85,35.4950495,5.02,11.27,1.88
4103,百略    ,137820921,2679616,1895,51.43,53,48.6,50.88,48.9,11.6152019,6.13,2.19,2.1
4105,東洋藥品,7401427847,65327634,34131,113.29,135.5,103.5,113.81,108.5,31.91176471,2.48,30.53,6.62
4107,邦特生技,692336561,20719216,11504,33.41,35.45,31.1,33.1,32.7,17.86885246,4.58,26.47,2.01
4109,加捷    ,63512444,3600059,2060,17.64,18.35,16.85,17.42,18.1,43.0952381,3.25,7.09,1.37
4111,濟生    ,834495855,27889913,15059,29.92,32.15,28.2,29.54,30.65,26.88596491,1.14,55.59,1.84
4114,健喬信元,252972508,8167145,4925,30.97,32.6,28.8,30.63,29.95,58.7254902,1.93,9.03,2.15
4120,友華生技,376401987,8469716,5446,44.44,47,42,43.9,42.05,23.36111111,2.85,9.76,1.59
4121,優盛醫學,41785676,3798620,1856,11,11.8,10.1,10.72,10.9,77.85714286,7.33,5.18,0.72
4123,晟德    ,261882081,7164345,3387,36.55,38.75,32.55,35.69,33.4,N/A,4.49,6.2,1.88
4126,太平洋醫,231649233,2863114,2681,80.9,84.4,77.2,80.41,82.3,16.83026585,4.86,4.34,3.12
4127,天良    ,463159855,23556582,11125,19.66,21.9,17.7,18.96,21.35,16.94444444,0,51.48,1.34
4128,中天生技,1520312593,43341334,21139,35.07,38.2,31.8,35.3,33.9,N/A,5.89,13.29,1.8
4129,聯合骨科,775810342,18372641,11642,42.22,45.8,37.6,41.8,43.05,33.11538462,2.32,39.63,2.97
4130,健亞    ,553596328,19393092,10709,28.54,30.5,25.9,27.86,28.65,60.95744681,0,20,2.85
4131,晶宇生技,20326445,1610315,985,12.62,13.5,11.7,12.5,12.6,N/A,0,3.33,2.22
4138,曜亞國際,849775065,7618182,5151,111.54,119.5,101,109.5,116,17.62917933,4.31,28.75,2.99
4139,F-馬光  ,7164138,90567,68,79.1,82.6,78.1,79.57,80,57.97101449,0,0.45,3.05
