櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年4月 Apr., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 228,526,362,832元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,612,514筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,168,195,272股",,,,,,4. 成交量週轉率： 9.31%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8933,愛地雅  ,389675832,32120360,11777,12.13,13.25,10.8,11.74,11.3,16.62,6.99,24.67,0.81061693
8934,衡平    ,55850,2254,3,24.77,24.75,24.75,24.75,24.75,2.99,0,0.04,1.668914363
8935,邦泰    ,32949828,6215571,1960,5.3,5.79,4.7,5.26,4.85,N/A,0,3.08,0.623393316
8936,國統國際,397176868,12035087,6540,33,36,31.15,32.75,31.35,23.57,3.83,8.88,1.148772444
8937,合騏    ,38903987,3510026,1480,11.08,12.4,9.56,10.6,9.92,N/A,0,4.84,0.918518519
8938,明安國際,167810977,4521181,2533,37.11,39.55,33.75,36.07,39,17.49,6.67,3.35,1.429618768
8942,森鉅科技,2352120745,40117076,19353,58.63,63.5,54.5,57.87,60.5,14.94,1.59,30.76,2.706935123
9949,琉園    ,20241588,994781,686,20.34,22,18.7,20.09,19.9,34.91,6.03,2.12,1.180308422
1742,台蠟    ,25449895,1479379,947,17.2,18.2,15.5,17.3,15.95,N/A,18.81,2.29,1.251962323
1787,福盈科技,156131144,11444026,4271,13.64,14.7,11.8,13.05,11.9,66.11,5.8,16.41,0.79492318
4702,中美聯合,16675953,1024709,632,16.27,17.5,15,16.33,17.3,N/A,0,1.34,2.325268817
4703,金美克能,131535130,9832702,2292,13.37,15,12.25,13.33,13.35,6.74,0,14.37,1.724806202
4706,大恭化學,10806913,724209,369,14.92,15.45,14.3,14.82,14.65,12.52,6.83,0.92,0.87098692
4707,磐亞    ,36931786,4046404,1614,9.12,9.86,8.23,9.07,8.7,30,0,1.79,0.500863558
4711,永純    ,4703353,272707,198,17.24,17.6,16.75,17.37,17,22.97,8.24,0.45,0.889586604
4712,南璋    ,240254661,4921938,2817,48.81,53,42.85,47.92,43.8,14.8,0,8.19,3.113006397
4714,永捷    ,56091212,3568205,1071,15.71,17.15,13.05,14.43,16.05,15.29,6.23,8.41,1.103092784
4716,大立    ,178875281,8195054,4391,21.82,24.1,19.5,21.45,19.8,16.23,5.05,13.59,1.486486486
4720,德淵企業,176598006,11246590,3609,15.7,16.4,14.6,15.55,15.4,18.33,1.3,16.14,1.147540984
4721,美琪瑪  ,452069228,15799701,8363,28.61,30.9,25.5,27.76,26.7,16.9,8.88,21.07,1.836313618
4722,國精化學,323353942,11613409,4219,27.84,29.8,24.8,27.47,25.2,16.15,3.13,15.86,1.506276151
4739,康普    ,26737132,1081093,662,24.73,26.9,23,24.72,24,17.65,4.17,2.22,1.201802704
6506,雙邦實業,10652163,752365,284,14.15,15.25,13.8,14.21,14,32.56,7.14,1.2,1.105845182
6509,聚和國際,108178250,8296417,3586,13.03,14,12.2,12.89,12.5,44.64,2.4,4.95,0.78369906
1565,精華光學,981145507,2721787,2623,360.47,387,331.5,366.4,339,16.28,4.28,5.4,5.566502463
1752,南光    ,275222226,9450266,5385,29.12,31,24.25,28.53,29.4,140,0,15,2.252873563
