櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
04月Apr. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 503,279,227,831元",,,,,,4. 加權平均本益比：16.07,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,875,680,645股",,,,,,5. 加權平均殖利率： 5.56%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 4,278,317筆",,,,,,6. 成交量週轉率： 19.33%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4114,健喬信元,799572089,21929156,10278,36.46,40.8,30.7,35.2,38.15,57.8,1.12,38.22,2.88
4120,友華生技,800532497,16286504,8760,49.15,56.4,39.9,46.75,55.1,17.95,2.34,31.69,2.91
4121,優盛醫學,1044773435,36102417,14912,28.93,30.9,27.2,28.46,27.3,11.33,3.91,53.33,1.83
4123,晟德    ,575791376,11008019,6471,52.3,57.9,46,49.87,51.4,10.32,0.81,37.5,2.97
4126,太平洋醫,504727028,14901913,7196,33.86,37.6,28.8,32.95,35.4,17.27,4.23,35.63,2.5
4127,天良    ,232458206,11938284,4852,19.47,21.45,16.3,18.49,19.2,64,2.6,27.13,1.15
4128,中天生技,2588926464,68841880,29510,37.6,45,29.55,35.09,42.8,NA,0,60.53,5.9
4129,聯合骨科,892826539,20477705,9603,43.59,52,33,40.74,45.15,451.5,0.55,53.1,3.92
4131,晶宇生技,118754409,1950714,1463,60.87,65.6,56,59.77,59.5,NA,0,4.34,7.19
8908,欣雄    ,3212141,194998,171,16.47,17.75,15,16.01,16.15,23.75,3.71,0.28,1.47
8917,欣泰    ,2005523,53436,39,37.52,40.95,36,38.84,40.95,17.13,4.88,0.07,2.62
8927,北基加油,13902659,824103,348,16.87,17.9,15.7,16.62,16.55,25.08,3.02,0.93,1.46
8931,大園汽電,264376926,17579032,5497,15.03,15.95,13.05,14.52,15.45,15.93,4.53,16.49,1.12
3073,普格    ,379835004,7296410,4324,52.05,55.7,47.7,50.98,53.4,21.62,3.74,22.64,3.01
3079,宏億國際,7006831,3459082,460,2.02,3.73,1.72,2.59,,3.82,69.76,5.04,0.12
3087,翔準    ,114599758,11308270,3128,10.13,10.8,9.35,10.01,9.92,10.33,0,3.97,0.8
3188,安茂    ,959343440,24785689,13693,38.7,42.85,34.5,37.9,35.95,16.88,4.47,54.98,2.51
3219,倚強科技,115507484,3387524,1786,34.09,35.95,31.8,33.45,35.05,12,1.71,9.08,2.71
3227,原相科技,16333742411,67331782,45474,242.58,258,223,239.47,257.5,15.02,3.1,57.44,6.47
3228,金麗科  ,1309049815,14565804,11066,89.87,98,81.3,88.38,95,29.32,1.76,30.08,5.57
3252,宏連科技,265981327,34427469,7911,7.72,10.25,6.35,8.57,6.35,NA,0,39.19,0.63
3259,鑫創科技,153983955,5880989,2056,26.18,29.8,24.3,25.59,25.5,NA,9.8,10.29,1.25
3260,威剛科技,3342297693,64174532,27534,52.08,56.7,45.25,51.86,53.2,14.15,0,37.31,1.48
3264,欣銓科技,1894385052,80051481,22886,23.66,26.2,21.45,23.19,23.75,10.7,8.33,19.94,1.62
3265,台星科  ,248968289,19324252,5524,12.88,13.65,12.2,12.77,13.05,11.65,12.41,7.09,0.96
3268,海德威  ,182791219,2883261,2162,63.39,71.2,56.5,62.22,60.9,45.11,0.49,10.32,4.03
3298,圓創科技,527109054,13572879,8131,38.83,41.5,35.8,38.3,38,17.59,4.1,30.89,2.27
3317,尼克森  ,6268050863,60437661,37208,103.71,120,84.5,99.46,116,14.39,2.58,123.53,3.62
3372,典範    ,1018714398,55038766,16603,18.5,19.45,17.05,18.49,17.9,10.53,11.17,23.91,1.38
3438,類比科  ,4311674487,30909038,19973,139.49,157,118.5,135.09,148,18.23,6.63,81.43,5.44
3527,聚積    ,2847504487,12286793,9615,231.75,262,202,220.23,253,20.05,2.37,46.48,8.25
3556,禾瑞亞  ,1069567255,12653960,8304,84.52,99.9,68,81.75,94.9,NA,1.89,30.93,5.39
5302,太欣半導,435475666,14075810,7243,30.93,33.7,28,30.67,30.9,NA,1.61,8.69,2.67
5314,世紀民生,74622143,7585864,2563,9.83,10.65,8.47,9.69,9.68,NA,1.44,6.76,1.03
5324,德豐    ,31687919,3871469,849,8.18,9.65,6.39,8.1,7.2,NA,0,2.01,14.12
5326,漢磊科技,1995504841,112322082,31866,17.76,18.9,15.95,17.56,17,7.59,5.88,33.97,1.37
5344,立衛科技,7972614,621794,383,12.82,14.9,10.75,12.77,14.2,24.48,0,0.84,3.05
