櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年12月 Dec. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 785,413,954,352元",,,,,,"3. 櫃檯買賣月總成交筆數： 7,151,894筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 20,215,382,941股",,,,,,4. 成交量週轉率： 28.10%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
8935,邦泰    ,398252933,29610331,7642,13.44,14.3,12.55,13.35,13.15,NA,0,19.49,1.31,,,,
8936,國統國際,2738182390,97372631,31817,28.12,39.8,19.3,28.08,37.6,64.83,2.65,107.62,3.01,,,,
8937,合騏    ,53082856,4327287,1574,12.26,13.5,10.55,11.51,13.5,NA,0.74,5.92,1.12,,,,
8938,明安國際,806779305,13273822,6736,60.77,63.9,58.1,59.51,63.9,14.3,5.05,10.22,2.44,,,,
8942,森鉅科技,195944625,9037369,4165,21.68,24.5,18.7,21.08,24.5,22.9,4.24,9.83,1.5,,,,
9946,金革科技,51968623,3883363,1455,13.38,14.5,10.05,12.43,13.4,NA,0,5.55,1.6,,,,
9949,琉園    ,164772195,5364773,2269,30.71,34,27,30.45,32.8,52.06,1.4,11.87,2.13,,,,
1742,台蠟    ,149836404,3790127,2453,39.53,41.45,37.1,38.76,40.1,13.28,11.59,9.37,2.15,,,,
1787,福盈科技,119515308,9537602,2758,12.53,14.15,10.6,11.91,14.15,101.07,6.36,15.8,0.98,,,,
4702,中美聯合,27196365,6324516,1489,4.3,4.54,4.12,4.27,4.29,NA,0,10.36,0.69,,,,
4703,金美克能,20735848,2516001,734,8.24,8.5,7.66,8.19,8.32,43.79,0,3.68,1.3,,,,
4706,大恭化學,23370973,1963332,787,11.9,13.1,10.8,11.75,13,24.53,3.84,2.48,0.86,,,,
4707,磐亞    ,87438113,6876946,2562,12.71,14.1,11.3,12.16,14.1,19.32,10.28,3.02,0.82,,,,
4711,永純    ,168832003,8400819,2973,20.09,21.5,18.65,19.84,21,13.46,4.76,13.76,1.21,,,,
4712,南璋    ,59916588,6589416,1507,9.09,9.97,7.68,8.71,9.25,NA,3.24,10.97,0.78,,,,
4714,永捷    ,177840341,12178994,3746,14.6,15.6,13.8,14.4,15.6,16.42,3.2,28.69,1.03,,,,
4716,大立    ,1196547960,42624972,15399,28.07,34.2,20.6,24.9,34.2,85.5,0.7,79.39,2.76,,,,
4720,德淵企業,186845656,11370819,4480,16.43,17.7,15.7,16.15,16.8,67.2,2.97,16.72,1.29,,,,
4721,美琪瑪  ,1675980868,47591236,20542,35.21,40.6,31,33.33,38.2,70.74,3.92,68.45,2.93,,,,
4722,國精化學,532575348,33432407,7964,15.92,18.1,11.8,14.5,17.1,29.48,1.75,55.04,1.12,,,,
4733,上緯企業,897992065,12249894,7929,73.3,80,68,71.48,71.6,14.07,5.9,18.77,4,,,,
6509,聚和國際,4989346171,178314822,55492,27.98,30.5,25.75,27.66,27.3,40.15,2.52,119.27,1.68,,,,
