櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年05月 May 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 425,129,230,170元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,019,226筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,585,590,742股",,,,,,4. 成交量週轉率： 14.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6506,雙邦實業,580145491,26389465,12053,21.98,25,16.8,22.04,22.45,14.12,4.18,43.67,1.72
6509,聚和國際,267468764,11760204,5860,22.74,24.2,21,22.57,22.4,N/A,4.27,7.15,1.41
1565,精華光學,1128734557,2751203,2637,410.26,421,396,407.92,419,22.25,2.62,5.46,7.72
1752,南光    ,338773783,9430012,5774,35.92,39,30.5,35.73,32.1,145.91,0.58,14.97,2.48
1777,生泰合成,95672107,1576908,1113,60.67,64.9,57.1,59.68,58.1,17.50,2.92,6.63,2.92
1781,合世生醫,199482890,7185674,3961,27.76,31.1,23.5,26.49,23.9,25.98,0,17.15,2.43
1784,訊聯    ,522416655,8881121,6802,58.82,63.4,52.7,57.4,53.7,N/A,0,17.82,2.39
1788,杏昌生技,1012947574,8369976,5786,121.02,127,111,119.5,113,22.42,2.85,28.62,3.64
1795,美時化學,533078844,10403985,6516,51.23,57.1,44.4,49.84,45.2,85.28,1.42,23.34,3.12
1799,紅電醫  ,20322710,949551,526,21.4,22.5,20.2,21.38,20.5,N/A,9.61,3.01,1.7
1813,寶利徠  ,862841646,16682359,10088,51.72,55.5,45.2,50.31,47.45,47.45,2.17,40.58,2.94
3118,進階    ,162097769,3446150,2361,47.03,50,41.1,45.17,42.3,18.08,3.55,11.15,2.65
3205,佰研生化,22327696,1058266,752,21.09,22.4,19.8,20.84,20,N/A,0,4.28,1.71
3218,大學光學,834850437,18236365,12042,45.77,51.8,38.05,44.75,40.9,2045.00,0,39.6,2.68
3266,弘如洋  ,146842855,5587650,2789,26.27,28.7,24.65,25.83,25,12.08,0,6.72,1.8
4102,永日化工,3038350004,38231869,23954,79.47,86,70,79.36,81.5,33.13,2.35,94.74,4.15
4103,百略    ,471876766,8862824,5684,53.24,56.4,49.5,52.53,52.6,16.04,5.63,7.25,2.33
4105,東洋藥品,8425863841,50759942,29447,165.99,178,149.5,163.69,156,63.41,1.83,36.3,9.65
4107,邦特生技,469424166,10735574,6394,43.72,47.2,39,42.8,39.95,19.68,4.99,13.71,2.46
4109,加捷    ,582003500,18023670,9598,32.29,34.8,28.25,31.42,28.65,150.79,2.61,36.62,2.1
4111,濟生    ,330089185,12426129,5856,26.56,28.15,23.85,25.6,24.6,46.42,2.25,25.26,1.49
4114,健喬信元,354069673,9943767,4524,35.6,37.5,33,35.25,33.6,672.00,0,12.12,2.28
4120,友華生技,871692236,16911346,10368,51.54,55.3,46.05,51.18,47.2,12.39,4.17,19.49,1.81
4121,優盛醫學,110473413,5015692,2699,22.02,23.4,20.35,21.7,20.85,13.54,2.39,7.11,1.33
4123,晟德    ,684309295,13972612,8077,48.97,51.7,45.2,47.92,45.75,117.31,5.25,16.05,2.29
4126,太平洋醫,1323485067,10509691,6941,125.92,133.5,115,125.16,124,20.63,0.82,19.47,4.68
4127,天良    ,239618855,8419603,4263,28.45,31.5,24.3,27.96,25.2,N/A,0.72,18.4,1.63
4128,中天生技,2544425808,53915046,28188,47.19,50.5,41.2,47.6,43.3,13.70,0,24.03,1.89
4129,聯合骨科,577842966,10806946,7009,53.46,56.5,49,52.46,50.3,50.81,1.83,23.31,3.6
4131,晶宇生技,60681512,2124214,1370,28.56,31.2,26,28.41,27,N/A,0,4.4,4.29
4138,曜亞國際,1294416831,7455574,5858,173.61,185,158,171.66,165,32.35,3.03,28.13,4.51
4139,KY馬光  ,286517340,3525500,2596,81.26,98.4,66.5,82.21,91.6,43.62,0.96,23.04,7.75
4736,泰博    ,380915259,5701837,3602,66.8,71.2,62.7,66.39,68,16.31,10.68,8.73,2.03
4911,德英    ,127294198,2146923,1461,59.29,68.5,53.8,58.51,56.1,N/A,0,3.9,3.72
8403,盛弘    ,252280923,4555117,3222,55.38,61.5,48.6,54.44,50.3,18.49,3.37,10.8,2.5
8908,欣雄    ,20865146,1003552,163,20.79,21.55,20.3,20.8,20.7,13.10,1.41,1.28,1.68
8917,欣泰    ,3019946,70473,33,42.85,44.15,41.4,42.95,43.15,16.86,4.63,0.07,2.63
8927,北基加油,22791687,1375082,467,16.57,17.1,16.05,16.57,16.5,150.00,2.96,1.25,1.47
8931,大園汽電,40055035,2653798,1207,15.09,15.5,14.75,15.08,15.05,22.46,6.68,2.49,1.09
3073,普格    ,44017428,2709656,1177,16.24,17.5,14.8,16.25,15.1,N/A,1.19,5.55,1.01
3087,翔準    ,1296131513,84004921,22476,15.42,16.75,12.7,14.9,15.75,15.44,0,29.48,1.1
3169,亞信電子,131145829,3389430,2141,38.69,41.5,35.5,37.56,37,15.04,5.75,6.39,2.22
3188,安茂    ,23184126,2167052,993,10.69,11.3,10.3,10.7,10.7,N/A,0,4.61,1.05
3219,倚強科技,2737726,475464,173,5.75,6.5,5.05,6.01,5.49,N/A,0,1.2,1.13
3227,原相科技,4214874545,38408020,24187,109.73,121,101.5,109.92,103.5,20.82,4.67,29.58,2.16
3228,金麗科  ,180055253,4273781,3071,42.13,45,38,40.65,39.8,N/A,0,7.23,3.61
3252,海灣科技,7360663,442226,277,16.64,18.65,14.1,15.32,16.35,6.49,0,0.88,4.88
3259,鑫創科技,100561549,4598446,2419,21.86,22.95,20.15,21.32,22,N/A,1.81,7.36,1.54
3260,威剛科技,890218240,22007702,11378,40.45,43,36,40.53,40.8,N/A,7.55,9.64,1.34
3264,欣銓科技,3463419883,122200178,38920,28.34,31.35,25.8,27.51,30.45,10.80,4.33,27.14,1.64
3265,台星科  ,2439068234,118748627,39238,20.53,23.2,18.2,20.08,22,9.95,1.98,43.57,1.41
