櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年02月 Feb. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 302,787,585,616元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,812,595筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,293,877,701股",,,,,,4. 成交量週轉率： 11.05%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1795,美時化學,187945956,3736944,2455,50.29,52.9,47.6,49.66,50.3,N/A,1.39,8.38,3.85
1799,紅電醫  ,13568561,628249,359,21.59,22.1,21.15,21.59,21.7,43.40,9.21,1.99,1.66
1813,寶利徠  ,16861067,436529,304,38.62,40.55,36.5,39.01,37,19.79,2.7,1.06,2.27
3118,進階    ,82972262,1801186,1404,46.06,48,44.05,45.44,45.3,19.70,3.31,5.83,3.03
3205,佰研生化,13069677,550746,334,23.73,24.8,22.5,23.6,22.7,N/A,0,2.23,3.03
3218,大學光學,692985069,20043116,9324,34.57,38.85,26.9,32.1,38.85,N/A,0,44.27,2.7
3266,弘如洋  ,21259605,859367,496,24.73,25.5,24.1,24.8,24.9,N/A,0,1.03,2.12
4102,永日化工,1135426572,18531613,12203,61.26,66.4,55.5,60.14,61,20.20,3.27,45.92,4.1
4103,百略    ,132101789,2672998,1868,49.42,52.2,47,49.15,47.5,12.03,6.31,2.19,2.18
4105,東洋藥品,5620828069,37082004,21391,151.57,164,136.5,147.96,150,54.15,2,26.52,9.93
4107,邦特生技,188144183,4420980,2810,42.55,44.5,40.65,42.11,41.9,17.83,4.77,5.65,2.67
4109,加捷    ,194705497,6444267,3077,30.21,32.5,28.2,30.21,30.45,121.80,2.62,13.96,2.42
4111,濟生    ,146350837,5448388,3454,26.86,28.2,25.4,26.4,26,38.24,2.11,11.08,1.61
4114,健喬信元,178490823,5008730,2629,35.63,38.2,34.7,35.6,34.8,65.66,0,6.14,2.39
4120,友華生技,229666014,4645868,2860,49.43,53.1,45.1,50.79,46,12.07,4.56,5.72,2
4121,優盛醫學,152684336,6610976,3224,23.09,23.9,22.3,22.95,22.85,13.60,2.18,9.38,1.5
4123,晟德    ,894496436,19017211,9985,47.03,50.4,41.35,46.08,46.6,179.23,5.36,21.84,2.41
4126,太平洋醫,901839628,8107066,5136,111.24,121.5,102,111.53,117,17.26,0.84,15.02,4.5
