櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2221,大甲    ,12852150,868000,402,14.8,15.75,14.25,14.83,14.9,N/A,0,2.05,1.17
3284,太普高  ,441521834,17521691,5395,25.19,27.6,22.5,24.23,22.95,12.97,4.2,34.09,1.79
3388,崇越電通,249951710,3353541,2039,74.53,77.8,72.4,74.4,74.8,9.65,5.69,6.02,1.77
5312,寶島科  ,289768499,4121153,2638,70.31,74.3,68,69.75,69.6,20.23,2.83,6.86,4.04
6186,晶磊興業,27173796,1469773,941,18.48,20.2,16.9,18.42,16.9,16.10,0,6.94,1.46
6803,崑鼎投控,295193206,2415746,1969,122.19,129,115.5,120.57,121,17.64,5.09,4.62,3.26
8390,金益鼎  ,575271678,12021353,7503,47.85,50.7,44.15,46.42,44.5,17.52,3.31,20.71,2.38
8401,白紗科技,263967959,5973790,3741,44.18,49.8,37.9,43.61,38.85,14.13,5,16.22,2.46
8705,東隆五金,23786072,740452,561,32.12,32.9,31.5,32.05,32.3,12.10,7.68,0.89,2.18
8905,裕國    ,52577363,3933397,1315,13.36,13.95,12.5,13.18,13.2,11.28,3.04,3.29,0.96
8906,花王企業,18837507,2817180,765,6.68,7.1,6.32,6.68,6.99,N/A,0,5.49,0.77
8913,華夏資融,107711007,4795908,2441,22.45,24.5,20.2,22.33,20.85,2.83,1.94,10.62,1.18
8916,光隆    ,1803256718,61268678,22173,29.43,32.1,23.65,28.24,29.8,12.90,2.06,70.12,1.41
8921,沈氏印刷,7361573,523943,203,14.05,14.5,13.55,14.06,14.3,14.90,4.19,1.12,0.84
8923,時報出版,3109813,164940,103,18.85,19.55,18.5,19.01,19.3,13.40,5.18,0.54,1.33
8924,大田精密,71162269,1735683,1101,40.99,41.8,40.2,40.89,40.4,19.06,6.19,1.43,2.25
8925,偉盟工業,1025430513,51171807,13026,20.03,20.9,19,20.02,20,58.82,4.87,18.5,1.58
8928,鉅明    ,9182124,828390,334,11.08,11.5,10.85,11.07,10.9,N/A,4.54,1.3,1.06
8929,富堡工業,80223809,1933809,1121,41.48,43,39.6,41.22,39.6,10.13,4.92,7.36,2.08
8932,宏大    ,16364574,1558096,521,10.5,11.35,9.9,10.52,10.3,18.73,0,3.19,1.12
8933,愛地雅  ,161972096,10327475,4312,15.68,16.7,14.85,15.41,15,22.73,6.53,8.4,1.03
8934,馭鳳    ,0,0,0,-,-,-,-,2.48,N/A,0,0,4.43
8935,邦泰    ,128002515,11485996,3299,11.14,12,10.3,11.11,11,N/A,0,5.69,1.24
8936,國統國際,352155461,12061088,5532,29.19,30,28.6,29.05,29.1,18.65,4.01,10.11,1.8
8937,合騏    ,581732528,25929337,8544,22.43,24.1,19.5,22.2,22,N/A,0,35.78,1.9
8938,明安國際,402123210,6445692,3637,62.38,65,60.1,61.68,60.4,11.35,5.94,4.91,2.18
8942,森鉅科技,339485551,12040922,4668,28.19,29.85,26,28.17,28.2,22.38,3.57,10.93,1.71
9946,金革科技,88000881,5068459,2722,17.36,19.65,15.8,17.61,16.35,26.80,0,5.07,1.81
9949,琉園    ,251085393,8879637,3609,28.27,32.85,26.1,29.06,27.8,25.98,3.11,19.65,1.79
1742,台蠟    ,144363374,3096089,1932,46.62,48.3,45.25,46.43,46.15,12.14,5.69,6.13,2.87
1787,福盈科技,171819910,8522774,3941,20.16,21.45,19.3,19.92,19.3,17.55,2.13,12.25,1.29
4702,中美聯合,263751555,17370300,7663,15.18,17.8,12.8,14.93,15.2,N/A,0,47.71,1.53
4703,金美克能,14070066,1795009,442,7.83,8.29,7.52,7.79,7.83,N/A,0,2.62,1.3
4706,大恭化學,38509793,2166952,866,17.77,18.6,17.35,17.58,17.45,9.54,4,2.74,1.08
4707,磐亞    ,1303080190,70589505,21426,18.45,19.7,16.8,18.22,17.65,32.69,1.08,31.31,1.09
4711,永純    ,90979753,3922469,1475,23.19,24.65,21.05,23.82,21.4,12.44,6.57,6.42,1.4
4712,南璋    ,56495077,3480732,1042,16.23,17.05,15.5,16.28,16.2,N/A,0,5.79,1.53
4714,永捷    ,45164886,2718235,876,16.61,17.05,16.3,16.59,16.6,10.00,6.07,6.4,0.99
4716,大立    ,696698140,16289053,9563,42.77,52.2,36.55,41.67,36.75,30.37,1.28,29.17,3.18
4720,德淵企業,340701637,14852267,7302,22.93,25.15,21.25,22.56,22.3,55.75,2.21,21.31,1.78
4721,美琪瑪  ,1517654480,43387254,20415,34.97,38.25,30.6,33.67,33.2,13.55,3.01,60,2.27
4722,國精化學,426167931,18311595,6845,23.27,24.25,21.8,22.91,22.55,31.32,2.61,27.56,1.46
4733,上緯企業,311309399,5227393,3085,59.55,63,57,58.99,57.6,23.41,5.3,7.98,2.83
6509,聚和國際,2603458738,85563739,40025,30.42,32.3,27.65,29.98,27.7,25.65,3.29,52.49,1.8
1565,精華光學,1500172899,4428510,3554,338.75,355,324,336.71,344,20.50,3.05,8.78,7.68
1752,南光    ,2468581100,58560456,30506,42.15,45.3,39,41.46,40.1,N/A,0.47,92.95,3.31
1777,生泰合成,880598470,12594791,7605,69.91,73,65,69.49,70,21.47,2.42,52.98,3.74
1781,合世生醫,424163802,10654028,6223,39.81,43.2,36,38.85,38.7,15.80,0,28.42,3.61
1784,訊聯    ,154857251,2947587,2283,52.53,55.8,49.5,51.63,50.3,N/A,4.15,6.61,2.62
1788,杏昌生技,2941793780,22169443,14076,132.69,149,111,132.28,139,28.02,2.36,75.79,4.77
1795,美時化學,2335555133,33760260,17970,69.18,76.5,63,68.31,63.8,N/A,1.06,78.15,5.05
1799,紅電醫  ,126404097,4872316,2506,25.94,28,23.8,25.06,23.85,47.70,8.14,15.76,1.88
1813,寶利徠  ,94732692,2221496,1397,42.64,45.5,40,41.81,40.05,21.42,2.46,5.4,2.49
