櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
01月Jan. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 339,872,575,306元",,,,,,4. 加權平均本益比：12.89,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,981,240,714股",,,,,,5. 加權平均殖利率： 7.13%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 2,927,065筆",,,,,,6. 成交量週轉率： 13.40%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
9960,邁達康  ,93724857,4343002,1175,21.58,23.1,19.3,21.09,19.9,8.33,8.39,22.02,1.41
1584,精剛精密,59198873,1482402,908,39.93,44.5,35,39.27,38.5,11.16,3.89,3.71,1.95
2221,大甲    ,13664782,540172,364,25.29,28,22.6,25.18,23,7.85,6.52,1.27,1.26
3284,太普高  ,5749429,733548,248,7.83,8.49,7.11,7.98,8.05,NA,12.42,1.77,0.75
3388,崇越電通,612370329,4620987,3544,132.51,150.5,113.5,129.93,116.5,12.24,6,9.17,2.98
5312,寶島科  ,60212527,2124433,1204,28.34,31.7,25,28.38,25.8,11.47,10.46,3.71,1.84
8705,東隆五金,63534076,1332432,927,47.68,50,45,47.86,45.6,8.87,10.96,1.67,2.39
8905,裕國    ,3352937,212688,144,15.76,16.2,15.5,15.75,15.7,12.76,4.33,0.18,1.17
8906,花王企業,5496974,889203,277,6.18,6.7,5.49,6.28,6.2,NA,1.61,1.73,0.6
8913,華夏資融,4126224,463143,252,8.9,9.89,8.1,8.83,8.2,5.99,0,1.32,0.89
8916,光隆    ,8738054,805246,339,10.85,11.5,10.4,10.92,10.95,9.61,3.65,0.97,0.57
8921,沈氏印刷,340616,28781,25,11.84,12.8,10.5,11.8,11.6,0,6.12,0.06,0.71
8923,時報出版,1482486,119015,69,12.45,12.95,12,12.42,12.1,15.92,8.26,0.39,0.9
8924,大田精密,257037406,3773098,2309,68.12,69.8,66.5,68.17,66.8,9.94,9.13,3.13,3.13
8925,偉盟工業,432072419,19610341,5532,22.03,25.95,18.7,23.03,19.75,27.43,6.53,10.86,1.55
8928,鉅明    ,17156526,1121557,433,15.29,16.8,14.1,15.54,14.5,21.32,4.13,1.72,1.2
8929,富堡工業,314317,34426,32,9.13,9.98,8.28,9.43,9.49,NA,0,0.18,1.34
