櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
100年12月 Dec. 11,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 174,139,891,484元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,310,869筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,415,902,760股",,,,,,4. 成交量週轉率： 7.94%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
4739,康普    ,149233223,6476161,2848,23.04,25.2,20.1,22.19,22.2,10,4.5,13.32,1.18,
6506,雙邦實業,4927181,431675,272,11.41,11.85,10.8,11.47,11.6,20.71,8.62,0.69,0.94,
6509,聚和國際,231113386,17875281,6645,12.92,14.1,10.5,11.73,13.2,N/A,2.27,10.66,0.8,
1565,精華光學,1788013083,5887077,5198,303.71,363.5,267,313.29,320,15.74,4.53,11.68,6.32,
1752,南光    ,35468109,1532303,971,23.14,25.2,20.1,22.58,23.8,2380,0,2.43,1.85,
1777,生泰合成,12207406,310314,251,39.33,41.85,37.5,39.51,41.2,18.23,5.58,1.31,2.22,
1781,合世生醫,16699355,1348515,775,12.38,13.3,11.05,12.36,12.5,N/A,0,3.21,1.23,
1784,訊聯    ,137893454,3782683,2312,36.45,39.75,31.45,35.05,38,92.68,0,7.53,1.66,
1788,杏昌生技,193292333,3032722,2258,63.73,69.8,57.9,64.34,63.8,13.9,5.48,8.66,2.16,
1795,美時化學,78816779,4037718,2331,19.52,21.7,16.4,18.63,20.5,N/A,1.46,9.06,1.54,
1799,紅電醫  ,5357904,475651,234,11.26,12.2,10.3,11.21,10.75,N/A,0,1.5,0.98,
1813,寶利徠  ,24083435,912020,574,26.4,30.5,24.1,26.35,26.5,29.78,5.66,2.22,1.7,
3118,進階    ,30215977,1169513,787,25.83,27.75,23.5,25.52,27.75,15.59,7.2,3.6,1.9,
3176,基亞    ,2146138449,58606315,27216,36.61,45.2,26.2,36.41,39.6,N/A,0,52.96,5.75,
3205,佰研生化,1626131,117936,92,13.78,15.2,13,13.92,13.1,N/A,0,0.48,1.19,
3218,大學光學,344199899,15327467,9195,22.45,25.45,19.55,22.28,22.35,34.92,0,23.03,1.42,
3266,昇陽開發,11288022,794485,432,14.2,15.1,13,14.15,14.85,5.63,5.38,0.96,1.09,
4102,永日化工,663872123,16415065,10840,40.44,44,34,39.08,41.7,20.95,4.79,38.74,2.23,
4103,百略    ,60544441,1326300,971,45.64,46.9,43.5,45.56,45.15,12.34,6.64,1.09,2.06,
4105,東洋藥品,1406967766,16686185,11308,84.31,89.5,75.5,82.82,85.4,29.65,3.04,9.67,5.54,
4107,邦特生技,65619829,3266273,1831,20.09,21.6,18.05,19.72,20.1,14.26,8.95,4.17,1.32,
4109,加捷    ,52262787,2931925,1774,17.82,18.5,16.9,17.75,17.2,45.26,3.43,5.51,1.22,
4111,濟生    ,53484333,3681901,1731,14.52,16.35,12.5,14.77,15.25,31.12,3.27,7.34,0.95,
4114,健喬信元,194317013,7762655,2278,25.03,27.2,21.95,24.4,25.65,N/A,2.37,9,1.9,
4120,友華生技,87064569,2659021,1732,32.74,34.5,30,32.69,32.65,10.67,1.99,3.07,1.31,
4121,優盛醫學,26324294,2389588,1390,11.01,12.3,9.25,10.68,11.55,14.81,6.92,3.26,0.77,
4123,晟德    ,81700203,2869910,1839,28.46,31.7,23.65,27.1,30.1,88.53,4.15,2.93,1.79,
4126,太平洋醫,358572569,4558964,3411,78.65,87.5,70.8,79.41,76.7,13.62,5.37,7.6,3.18,
4127,天良    ,46852297,3253064,1724,14.4,15.95,12.2,13.65,15.1,N/A,0,7.11,1,
4128,中天生技,2099993469,62605387,26695,33.54,38.45,22.5,27.74,36.95,15.46,6.76,22.86,1.99,
4129,聯合骨科,112572280,3851450,2565,29.22,31.7,26.35,28.95,30.45,26.95,2.23,8.31,2.17,
4131,晶宇生技,18736890,1487507,735,12.59,13.35,11.2,12.67,12.6,N/A,0,3.08,2.08,
4138,曜亞國際,91169500,1068102,933,85.35,90.1,79,84.52,86.6,15.86,5.77,4.03,2.44,
4139,F-馬光  ,19486555,270198,227,72.11,78,66.1,73.23,78,39.59,1,1.64,4.63,
4154,F-康樂  ,235078400,5227000,3081,44.97,55.5,38.1,47.5,45.4,13.24,4.25,23.98,3.86,
4735,豪展    ,6982650,647000,360,10.79,11.9,9.92,10.62,11.5,N/A,4.34,2.25,0.89,
4736,泰博    ,100553511,2646861,1366,37.98,41,33.3,37.94,39.8,15.19,10.37,4.19,1.35,
4743,合一    ,174386955,9749750,3078,17.88,19.85,15.25,17.17,18.6,103.33,2.41,8.38,1.57,
4911,德英    ,40258129,857278,714,46.96,49.3,43.9,47.07,48.3,N/A,0,1.56,3.22,
8403,盛弘    ,26382213,1054626,675,25.01,26.45,23.2,24.68,25.3,15.24,7.11,2.43,1.34,
8908,欣雄    ,1476602,70399,75,20.97,22.15,20,21.05,20.3,16.5,6.89,0.08,1.79,
8917,欣泰    ,1031010,24273,20,42.47,43.5,42,42.39,43.5,20.33,5.05,0.02,2.92,
8927,北基加油,13329861,1011814,230,13.17,14,12.2,13.15,13.9,N/A,2.15,0.9,1.29,
8931,大園汽電,25468471,2136344,610,11.92,12.45,11.6,11.93,12.25,20.42,7.34,2,0.9,
3073,普格    ,63187747,4454658,1870,14.18,15.75,12.25,13.56,12.25,N/A,0,9.13,0.84,
