櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
03月 Mar. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 364,128,386,063元",,,,,,4. 加權平均本益比：14.74,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,069,402,673股",,,,,,5. 加權平均殖利率： 6.09%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,316,682筆",,,,,,6. 成交量週轉率： 15.04%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4102,永日化工,98152841,5574291,2641,17.6,18.45,16.35,17.36,17.5,56.45,2.85,16.87,1.26
4103,百略    ,154603465,3760365,2383,41.11,43.2,39.5,40.97,41.05,11.01,6.09,3.2,2.17
4105,東洋藥品,396084838,7401033,3623,53.51,58.5,49.2,52.77,58,28.43,4.65,7.96,3.31
4107,邦拓    ,748060783,27015465,12606,27.69,29.4,25,27.1,27.7,5.46,2.27,35.55,1.71
4108,懷特    ,913548294,20964210,11844,43.57,48,38.15,42.7,42.6,NA,0,22.26,2.92
4109,加捷    ,174178579,7348218,4230,23.7,26.8,21,22.76,22.05,19.86,7.34,16.82,1.54
4111,濟生    ,126272551,7851219,3168,16.08,17.3,14.65,15.86,15.8,27.24,4.43,16.41,0.99
4113,聯上生技,13896225,1215367,666,11.43,13,9.7,10.91,12.15,NA,0,4.82,1.53
4114,健喬信元,692213169,22155174,11004,31.24,34.3,27.9,30.42,31.8,48.18,1.35,38.62,2.4
4120,友華生技,218776054,5262785,3137,41.57,44.9,38.2,41.01,40.5,13.19,3.18,10.24,2.14
4121,優盛醫學,500637540,18649121,7949,26.84,29.35,23.8,25.8,28.25,11.72,3.78,27.55,1.89
4123,晟德    ,347861562,7273007,4607,47.82,51.5,43.2,47.04,46.1,9.26,0.91,24.78,2.67
4126,太平洋醫,268573834,9158094,4382,29.32,30.85,27.2,29.08,30,14.63,5,21.9,2.12
4127,天良    ,47027343,2826500,1412,16.63,17.4,15.45,16.5,16.9,56.33,2.95,6.42,1.01
4128,中天生技,1188795064,38188382,18031,31.12,33.1,27.6,30.54,30.65,NA,0,33.58,4.23
4129,聯合骨科,226168635,6572847,3821,34.4,36.7,30.05,33.82,34.3,343,0.72,17.04,2.98
4131,晶宇生技,103006281,1862627,1362,55.3,60.4,46.7,54.23,58.8,NA,0,4.15,7.11
8908,欣雄    ,1205925,84717,173,14.23,15.35,13.5,14.25,15.1,0,3.97,0.12,1.38
8917,欣泰    ,2105280,55044,34,38.24,39.4,35,37.92,38,0,5.26,0.07,2.43
8927,北基加油,240975835,14911361,726,16.16,17,15,16.07,16.25,24.62,3.07,16.8,1.43
8931,大園汽電,115850085,8603369,2813,13.46,14.2,12.05,13.14,13.6,14.02,5.14,8.07,0.99
3073,普格    ,168858848,3461092,2370,48.78,52,44.25,48.08,48,19.43,4.16,10.74,2.7
3079,宏億國際,89814748,7677827,2204,11.69,12.2,4.01,8.17,4.01,8.91,29.92,11.18,0.28
3087,翔準    ,47175051,4930413,1491,9.56,10.2,9,9.48,9.3,9.69,0,1.73,0.75
3188,安茂    ,1476222372,37733778,18380,39.12,44.5,32.55,37.6,43,20.19,3.74,83.7,3
3219,倚強科技,122436212,3601766,2202,33.99,36.8,31,33.3,31.6,10.82,1.89,9.65,2.45
3227,原相科技,12939650177,61298003,44660,211.09,229,190,210,223,13.01,3.58,52.31,5.6
3228,金麗科  ,874607881,10760379,8280,81.28,87.9,69,79.57,82.3,25.4,2.04,22.22,4.82
3252,宏連科技,129941537,11894662,3730,10.92,12.25,9.47,10.29,9.8,NA,0,13.54,0.97
3259,鑫創科技,44046722,1826857,919,24.11,25.55,22.25,23.97,24.9,NA,10.04,3.2,1.22
3260,威剛科技,1071586876,23812460,12749,45,49.05,41,44.34,44.1,11.73,0,13.85,1.23
3264,欣銓科技,997455549,48019692,14524,20.77,22.05,18.65,20.67,21.55,9.71,9.18,11.96,1.47
3265,台星科  ,150842499,12224407,4033,12.33,13.5,11.2,12.33,12.15,10.85,13.33,4.49,0.9
3268,海德威  ,197316151,3053406,2442,64.62,74,54.2,63.18,64.2,47.56,0.46,10.94,4.25
3298,圓創科技,1031134237,26961666,14523,38.24,42.35,34.9,37.49,37.9,17.55,4.11,61.35,2.27
3317,尼克森  ,1948526747,21776938,15070,89.47,97.5,81.5,87.57,85,10.55,3.52,44.51,2.65
3372,典範    ,531698047,31044528,9937,17.12,18.5,15.2,16.85,16.85,9.91,11.86,13.49,1.3
3438,類比科  ,1308338053,11818247,8776,110.7,120,100,109.19,117,14.41,8.39,31.14,4.3
3527,聚積    ,1568685518,7757250,6094,202.22,226,180,200.09,208,16.48,2.88,29.34,6.78
5302,太欣半導,994134323,33288046,14157,29.86,34,24.6,29.68,32.8,NA,1.52,20.59,2.84
5314,世紀民生,24362039,2693580,1347,9.04,9.95,8.05,8.83,8.54,NA,1.63,2.4,0.91
5324,華昕電子,14228111,3650210,351,3.89,4.1,3.3,3.82,,NA,0,1.39,7.65
5326,漢磊科技,1960167174,112803653,33828,17.37,19.45,15.3,16.74,15.8,7.05,6.32,34.11,1.27
5344,立衛科技,3415558,289503,218,11.79,13.9,9.96,12.31,12.5,21.55,0,0.39,2.68
5346,力晶    ,10953872304,947166350,129936,11.56,12.85,10.65,11.68,11.35,5.18,21.67,12.1,0.75
5347,世界先進,2348115916,109938947,27748,21.35,22.5,20.25,21.31,21.8,8.79,6.83,6.46,1.66
5351,鈺創科技,4006190751,145637625,49550,27.5,30.3,25,26.75,29.5,8.65,5.93,38.25,1.49
