櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
8928,鉅明    ,84018755,6163190,2202,13.63,14.5,12.35,13.19,12.5,N/A,6.34,9.7,1.08,
8929,富堡工業,142731229,3425218,2039,41.67,50,35.3,40.86,38,8.12,0,13.59,2.11,
8932,宏大    ,98241399,7693749,2430,12.76,14.3,10.6,12.54,11.35,17.73,0,20.35,1.32,
8933,愛地雅  ,327213155,17322470,7481,18.88,21.6,15.8,18.59,17,15.74,2.85,15.15,1.16,
8934,馭鳳    ,0,0,0,0,0,0,0,2.85,N/A,0,0,5.38,
8935,邦泰    ,204195374,17329611,4473,11.78,13.1,9.85,11.63,10.9,N/A,0,11.41,1.28,
8936,國統國際,798136944,25252165,11421,31.6,36,28.1,31.04,31.75,16.45,3.1,27.91,2.35,
8937,合騏    ,19147958,1450102,617,13.2,14.65,11.7,13.09,12,N/A,0.76,2,1,
8938,明安國際,828753453,13558981,7690,61.12,66.9,55.7,60.91,59.2,13.7,5.56,10.33,2.04,
8942,森鉅科技,96428879,3644981,1568,26.45,28.1,22.8,25.78,24.75,37.5,3.94,3.41,1.5,
9946,金革科技,79799828,5044611,1703,15.81,17,14,15.09,14.8,82.22,0,7.21,1.71,
9949,琉園    ,227022399,6671519,1619,34.02,37.5,30,33.74,32.6,30.19,1.43,14.76,2.01,
1742,台蠟    ,220678369,4371548,2469,50.48,54,45.3,49.87,48.3,12.11,9.81,10.81,2.72,
1787,福盈科技,656514212,31960801,12715,20.54,23,16.85,20.01,18.8,24.42,4.26,52.94,1.24,
4702,中美聯合,36859373,3479394,1382,10.59,11.7,9.4,10.36,10.15,N/A,0,9.56,1.02,
4703,金美克能,19455625,2455052,989,7.92,8.5,7.27,8.05,7.27,45.44,0,3.59,1.13,
4706,大恭化學,154799493,9323758,3397,16.6,18.75,14.2,15.75,14.9,10.28,3.49,11.8,0.92,
4707,磐亞    ,134681880,9894563,3395,13.61,14.65,11.5,13.22,12.15,28.26,11.24,4.39,0.74,
4711,永純    ,52821312,2168339,1186,24.36,25.5,22.6,24.32,24.1,10.76,4.16,3.55,1.31,
4712,南璋    ,275441321,15493275,3692,17.77,19.4,15.2,17.64,17.4,N/A,1.75,25.78,1.53,
4714,永捷    ,212224404,11972738,2910,17.72,18.85,15.3,17.17,16.2,8.95,3.1,28.21,0.89,
4716,大立    ,971616663,27089554,13557,35.86,40.5,28,34.97,32.35,38.98,0.66,50.45,2.54,
4720,德淵企業,311295538,17213927,6126,18.08,19.8,15.7,17.59,16.9,22.24,2.99,25.31,1.28,
4721,美琪瑪  ,329194873,10282178,5525,32.01,34.4,28.3,31.54,30.6,18.43,4.9,14.79,2.15,
4722,國精化學,162673189,8343637,2690,19.49,20.8,17.3,19.12,20.2,27.3,1.55,13.74,1.31,
4733,上緯企業,425278445,6590860,3610,64.52,70.5,57,63.91,60,21.58,7.18,10.08,2.74,
6509,聚和國際,1229146883,44577809,19634,27.57,30,24.85,27.36,26.55,19.1,2.53,29.28,1.58,
1565,精華光學,1562136646,6283454,4966,248.61,277.5,222,242.61,233,17.32,3.56,12.46,5.07,
1752,南光    ,332237355,12567072,6504,26.43,29.9,23.4,26.08,25.5,N/A,3.8,19.95,2,
1777,生泰合成,128365481,2996621,1734,42.83,45.2,39.55,42.58,42.2,18.76,4.36,12.61,2.29,
1781,合世生醫,258176049,10302599,4679,25.05,28.35,19.55,23.45,24.9,N/A,0,29.02,3.26,
1784,訊聯    ,217433551,3726984,2755,58.34,64.4,49.4,58,51.9,40.55,2.12,8.6,2.37,
1788,杏昌生技,586095168,8542219,5454,68.61,72.8,62,67.07,64.5,14.76,4.68,29.2,2.21,
1795,美時化學,316141924,7982773,4768,39.6,42.4,35,38.93,38.35,109.57,1.73,19.59,2.89,
1799,紅電醫  ,96417823,3543105,1749,27.21,28.8,25,26.88,27.6,32.47,6.69,12.61,1.79,
1813,寶利徠  ,190818418,4080439,2271,46.76,51.9,40.8,46.36,44,24.72,0,9.92,3.01,
