櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
12月Dec. 07,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,142,867,977元",,,,,,4. 加權平均本益比：15.94,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,664,846,017股",,,,,,5. 加權平均股利率： 5.71%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,076,601筆",,,,,,6. 成交量週轉率： 12.76%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均股利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4126,太平洋醫,134765746,4952486,2782,27.21,29.7,24.65,26.87,27.2,13.27,5.51,11.84,1.92
4127,天良    ,41204531,2488432,1288,16.55,18.75,15.3,16.93,16.7,55.67,2.99,5.66,1
4128,中天生技,369277013,12464895,6264,29.62,34.7,25.5,29.58,27.1,NA,0,10.96,3.74
4129,聯合骨科,84839532,2256389,1402,37.59,42.8,32.1,36.3,34,340,0.73,5.85,2.95
4131,晶宇生技,66258841,1150137,771,57.6,63.5,51.1,58.38,56.4,NA,0,2.57,6.82
8908,欣雄    ,3279933,218525,184,15,16.35,13.85,14.6,14.1,20.74,4.25,0.32,1.29
8917,欣泰    ,2063013,61225,17,33.69,36,33.3,35.2,35.1,0,5.69,0.08,2.25
8927,北基加油,14214817,817844,314,17.38,19,15.55,16.99,17.45,26.44,2.86,0.92,1.54
8931,大園汽電,21009107,1807047,672,11.62,12.4,10.8,11.71,12.05,12.42,5.8,1.69,0.88
3073,普格    ,296062141,5308586,3951,55.77,63.5,46.7,53.68,52.6,21.3,3.8,16.47,2.96
3079,宏億國際,95859636,6522803,2620,14.69,16.75,12.1,14.3,14.7,32.67,8.16,9.5,1.01
3087,翔準    ,56350950,5386000,1532,10.46,11.7,9.03,10.55,10.3,10.73,0,1.89,0.83
3188,安茂    ,167318624,3765956,2161,44.42,52.4,35.3,42.75,45.9,21.55,3.5,8.35,3.21
