櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
02月Feb. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 214,612,664,226元",,,,,,4. 加權平均本益比：14.44,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,670,823,819股",,,,,,5. 加權平均殖利率： 6.25%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 1,973,597筆",,,,,,6. 成交量週轉率： 8.46%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
3218,大學光學,102970993,2432692,1284,42.32,44.9,38.05,41.49,42.7,21.35,3.86,6.06,2.5
3266,弘如洋  ,23231683,1240235,684,18.73,20,16,18.47,19.6,122.5,5.91,5.36,1.75
4102,永日化工,89068817,5133023,2366,17.35,18.4,14.15,17.1,17.85,57.58,2.8,15.53,1.28
4103,百略    ,86022804,2099279,1525,40.97,44.95,37.8,40.5,40.75,10.92,6.13,1.78,2.15
4105,東洋藥品,203552065,4185153,2461,48.63,53.1,42,48.59,50.5,24.75,5.34,4.5,2.88
4107,邦拓    ,499828136,19161797,8544,26.08,29.05,19.6,25.05,27.35,5.39,2.3,25.21,1.69
4108,懷特    ,1107684246,30553671,14143,36.25,44,27.45,36.7,42.5,NA,0,32.44,2.91
4109,加捷    ,131641388,6061941,3059,21.71,25.1,15.5,19.43,25.1,22.61,6.45,13.87,1.75
4111,濟生    ,135776515,8389004,3223,16.18,17.7,13.4,15.79,16.6,28.62,4.21,17.53,1.04
4113,聯上生技,2880962,290708,230,9.91,10.8,8.42,9.88,10.3,NA,0,1.15,1.3
4114,健喬信元,570158507,21055275,9539,27.07,30.7,19.5,26.32,30,45.45,1.43,36.7,2.27
4120,友華生技,240237670,5850040,3465,41.06,44.85,33.95,40.19,41,13.36,3.14,11.38,2.16
4121,優盛醫學,219699939,8866412,4194,24.77,26.9,20.85,24.27,25,10.37,4.28,13.1,1.67
4123,晟德    ,133001409,2943111,1885,45.19,48.5,38,44.04,44.65,8.97,0.94,10.03,2.58
4126,太平洋醫,237215536,8424469,4007,28.15,30.9,23.8,27.31,28.65,13.98,5.23,20.15,2.02
4127,天良    ,57004970,3420744,1670,16.66,17.45,14,16.04,16.4,54.67,3.04,7.77,0.98
4128,中天生技,756092743,25796541,11160,29.3,33.1,18.45,27.24,30.5,NA,0,22.68,4.21
4129,聯合骨科,173892791,5311065,2597,32.74,35.5,22.1,30.76,34.8,348,0.71,13.77,3.02
4131,晶宇生技,72925615,1499558,1046,48.63,59,38.65,50.86,54.7,NA,0,3.35,6.61
8908,欣雄    ,943909,69140,52,13.65,14.6,13.35,13.87,13.75,20.22,4.36,0.1,1.25
8917,欣泰    ,3009905,83164,10,36.19,37.5,36.1,37.1,37.5,15.69,5.33,0.1,2.4
8927,北基加油,3849933,244484,98,15.74,16.5,14.35,15.94,15.95,24.17,3.13,0.28,1.41
8931,大園汽電,13697442,1170123,519,11.7,12.2,11.2,11.71,12.2,12.58,5.73,1.1,0.89
3073,普格    ,105846071,2318547,1592,45.65,49.9,37.15,43.98,45.9,18.58,4.35,7.19,2.58
3079,宏億國際,175589831,15180222,4104,11.56,12.2,10.2,11.46,12.1,26.89,9.91,22.11,0.83
3087,翔準    ,35951242,3902470,1117,9.21,10.2,8.21,9.16,9.9,10.31,0,1.37,0.8
3188,安茂    ,517267545,16139866,7872,32.04,35.95,26.85,30.93,34.95,16.41,4.6,35.8,2.44
3219,倚強科技,100910136,3024164,1998,33.36,36.8,30,33.13,34.3,11.75,1.74,8.1,2.65
3227,原相科技,10726463025,56962998,36979,188.3,221.5,147.5,186.89,210.5,12.28,3.8,48.65,5.29
3228,金麗科  ,1135367946,14650576,8275,77.49,88.8,60.7,74.9,86,26.54,1.95,30.32,5.04
3252,宏連科技,51019810,4922308,1590,10.36,11.25,9.49,10.14,11.25,NA,0,5.61,1.12
3259,鑫創科技,17718266,710558,364,24.93,25.9,24.2,24.97,24.8,NA,10.08,1.25,1.22
3260,威剛科技,1859532829,43036209,20099,43.2,48,39.5,43.55,47.5,12.63,0,25.15,1.32
3264,欣銓科技,1066947309,58359216,16330,18.28,21.5,15.55,18,21.2,9.55,9.33,14.56,1.44
3265,台星科  ,104503493,8631334,2940,12.1,13.7,10.6,11.72,13.65,12.19,11.86,3.17,1.01
3268,海德威  ,64539408,1391637,1059,46.37,53.7,29.35,43.38,53.7,39.78,0.55,5,3.56
3298,圓創科技,252190273,8673586,4210,29.07,35.7,24.7,28.53,35.7,16.53,4.36,19.74,2.13
3317,尼克森  ,1365054173,15753773,10396,86.64,96,67,83.27,91.5,11.35,3.27,32.2,2.85
3372,典範    ,405992670,25453676,7822,15.95,17.4,14,15.76,17.2,10.12,11.62,11.06,1.32
3438,類比科  ,729382662,7259668,5440,100.47,108,83.1,99.06,107,13.18,9.17,19.13,3.93
3527,聚積    ,1038199659,5860591,4459,177.14,197.5,140.5,173.07,193.5,15.33,3.1,22.17,6.31
5302,太欣半導,364101497,17859885,6803,20.38,26.05,13.55,19,26.05,NA,1.91,11.06,2.25
5314,世紀民生,22309713,2589415,1136,8.61,9.72,7.26,8.36,9.72,NA,1.44,2.31,1.03
5324,華昕電子,11314855,3404817,265,3.32,3.88,2.46,3.2,3.88,NA,0,1.3,7.61
5326,漢磊科技,1069727898,68251479,20259,15.67,16.9,13.3,15.44,16.7,7.46,5.98,20.65,1.34
5344,立衛科技,2445805,252723,108,9.67,10.95,8.84,10,10,0,0,0.34,2.15
5346,力晶    ,7623577613,604421640,87716,12.61,13.25,12.05,12.61,12.6,5.75,19.52,7.73,0.83
5347,世界先進,1233336663,57623553,16608,21.4,23.3,19.75,20.96,22.85,9.21,6.52,3.39,1.74
5351,鈺創科技,1086361941,42985740,15404,25.27,26.7,22.5,24.83,26.2,7.68,6.67,11.29,1.32
