櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年07月 Jul. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 353,599,920,958元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,448,634筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,295,407,222股",,,,,,4. 成交量週轉率： 12.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4128,中天生技,1599642345,38992514,19250,41.02,45.45,37.6,40.93,38.45,12.17,6.5,14.24,1.68
4129,聯合骨科,155805477,3256473,2147,47.84,49.8,44.8,48.02,45.8,46.26,1.48,7.02,3.28
4131,晶宇生技,34475535,1475118,978,23.37,24.8,21.5,23.38,22.65,N/A,0,3.05,3.6
4138,曜亞國際,923436991,5873227,4423,157.22,170,143,157.83,149.5,29.31,3.34,22.16,4.08
4139,KY馬光  ,114545516,1293202,477,88.57,94,76.5,87,90.9,43.29,0.86,7.84,7.69
4736,泰博    ,101764033,1929001,1260,52.75,56.4,50,52.61,50.6,12.13,8.16,2.95,1.51
4911,德英    ,299814561,4458727,3135,67.24,75.7,53.1,65.88,74,N/A,0,8.11,4.9
8403,盛弘    ,64132174,1319394,1066,48.6,51.6,43.65,48.12,46.15,16.97,3.9,3.13,2.29
8908,欣雄    ,4487021,200002,142,22.43,23.95,21.3,22.52,22.45,14.21,1.34,0.26,1.82
8917,欣泰    ,4154056,94264,38,44.06,47,42.1,43.97,46.8,18.28,4.27,0.09,2.85
8927,北基加油,18586393,1310607,483,14.18,14.8,13.2,14.16,14.45,131.36,3.46,1.19,1.29
8931,大園汽電,25512230,1740226,833,14.66,15.2,13.75,14.56,13.85,20.67,6.5,1.63,1
