櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年1月 Jan. 2010,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 634,665,897,804元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,047,741筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 17,662,926,769股",,,,,,4. 成交量週轉率： 24.41%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
6024,群益期  ,377821615,10252096,5455,36.85,39.9,33.5,36.23,34.1,11.88,6.21,13.63,1.84,,,,
2916,滿心企業,19534789,1420567,500,13.75,14.55,13.45,13.78,13.9,NA,2.15,3.37,0.92,,,,
5902,德記洋行,78586856,6407005,2034,12.26,13.4,10.8,11.91,11,NA,0,6.78,1.33,,,,
5903,全家    ,20255695,335968,253,60.29,61.6,58.5,60.22,59.7,18.15,4.18,0.15,3.56,,,,
5904,寶雅國際,54982043,1941358,898,28.32,28.9,27.45,28.49,28.15,10.31,9.59,2.66,1.7,,,,
5905,南仁湖  ,827481042,46299487,11953,17.87,19.2,15.5,17.8,17.7,NA,0,26.49,1.5,,,,
8941,關中    ,186448454,11945415,3958,15.6,17.15,13,15.03,13.2,NA,6.81,12.99,1.06,,,,
9960,邁達康  ,386951760,11872220,5431,32.59,37.8,24.3,30.6,26.5,13.25,4.52,47.4,1.83,,,,
1584,精剛精密,144297774,8266183,3815,17.45,19.75,14.9,16.79,15.2,NA,0,14.28,0.92,,,,
2221,大甲    ,51164893,3692233,1632,13.85,14.75,12.1,13.42,13.25,NA,11.32,8.7,0.91,,,,
3284,太普高  ,581150041,25866884,8647,22.46,25.1,18,22.04,19.05,26.46,0,50.33,1.7,,,,
3388,崇越電通,350592316,4886203,3165,71.75,75.4,66.1,70.86,69,19.06,4.34,8.78,1.8,,,,
5312,寶島科  ,1028422477,16302327,8435,63.08,69.1,55.4,59.96,57.1,22.84,3.5,27.14,3.66,,,,
8390,金益鼎  ,249188208,4870143,2702,51.16,56.5,43.5,50.71,45.7,117.18,3.3,8.64,2.59,,,,
8705,東隆五金,56552022,1791083,1089,31.57,32.8,30,31.33,30.7,14.15,2.6,2.15,2.2,,,,
8905,裕國    ,32696584,2197016,874,14.88,15.6,13.6,14.91,15.2,116.92,1.31,1.84,1.2,,,,
8906,花王企業,68207515,10015094,2571,6.81,7.25,6.02,6.45,6.2,NA,0,19.51,0.68,,,,
8913,華夏資融,113751343,9266945,3078,12.27,13.45,10.7,11.85,12.4,620,0,26.35,1.19,,,,
8916,光隆    ,185872929,10605292,3369,17.52,19.5,14.4,16.48,15.5,16.49,3.29,12.41,0.74,,,,
8921,沈氏印刷,7502397,628258,215,11.94,12.75,11.4,12.07,12.2,25.42,1.63,1.35,0.74,,,,
8923,時報出版,2113091,144721,84,14.6,14.8,14.1,14.56,14.4,12.97,5.9,0.48,1.04,,,,
8924,大田精密,522027768,11535660,5673,45.25,48.5,40.8,44.76,41.9,13.87,8.35,9.51,2.25,,,,
8925,偉盟工業,2809316523,116593213,27440,24.09,25.75,21.55,23.52,22.15,NA,6.77,49.03,1.69,,,,
8928,鉅明    ,88760782,6605143,2113,13.43,14.5,12.2,13.38,13.1,93.57,6.1,10.39,1.11,,,,
8929,富堡工業,189646971,4475020,2567,42.37,45.2,38.2,41.8,39.8,8.6,0,17.75,2.5,,,,
8932,宏大    ,100753613,8873443,2937,11.35,12.7,10.2,11.14,10.75,25.6,0,23.47,1.23,,,,
8933,愛地雅  ,958988876,37576375,15526,25.52,27.7,20.7,24.85,21.95,9.3,2.27,32.86,1.49,,,,
8934,世一旦  ,73450,25000,5,2.93,3,2.81,2.9,3,NA,0,0.04,5,,,,
8935,邦泰    ,447726126,36410220,10063,12.29,13.3,10.3,12.07,10.85,NA,0,23.97,1.08,,,,
8936,國統國際,1822884813,49994946,18815,36.46,39.3,31.5,35.47,32.6,56.21,3.06,55.26,2.61,,,,
8937,合騏    ,38947255,3024137,1248,12.87,14.4,11.15,12.48,11.25,NA,0.88,4.14,0.93,,,,
8938,明安國際,5049182981,68260409,27659,73.96,84,65.4,73.69,68.5,15.32,4.71,52.54,2.62,,,,
8942,森鉅科技,268636388,10847137,4442,24.76,27.25,22,24.41,23.3,21.78,4.46,11.79,1.43,,,,
9946,金革科技,34582888,2669676,843,12.95,14.15,11.5,12.89,12.1,NA,0,3.81,1.44,,,,
9949,琉園    ,112465060,3549767,1105,31.68,33.5,28.4,31.21,30,47.62,1.53,7.85,1.95,,,,
1742,台蠟    ,125894208,3121831,1970,40.32,42.5,38.3,39.95,39.4,13.05,11.8,7.72,2.12,,,,
1787,福盈科技,312501944,20494840,6002,15.24,16.9,13.4,14.91,15.2,108.57,5.92,33.95,1.05,,,,
4702,中美聯合,135163062,22346766,5777,6.04,7.55,4.27,5.65,5.5,NA,0,36.62,0.88,,,,
4703,金美克能,60512122,6909220,1785,8.75,9.58,8,8.63,8.25,43.42,0,10.1,1.29,,,,
4706,大恭化學,35683084,2771627,905,12.87,13.8,11.55,12.67,12.1,22.83,4.13,3.51,0.8,,,,
4707,磐亞    ,329467416,21543094,6200,15.29,16.85,12,14.34,12.3,16.85,11.78,9.47,0.72,,,,
4711,永純    ,156704693,6997745,2742,22.39,24.8,20.1,21.5,20.95,13.43,4.77,11.46,1.21,,,,
4712,南璋    ,513525282,43825497,5087,11.71,14.6,9.01,10.88,13.3,NA,2.25,72.94,1.12,,,,
4714,永捷    ,246105225,15800343,5130,15.57,16.9,13.8,14.96,14.1,14.84,3.54,37.23,0.94,,,,
4716,大立    ,1160205615,37935405,16124,30.58,34,24.25,29.26,27.8,69.5,0.86,70.66,2.25,,,,
4720,德淵企業,194153286,11929537,4395,16.27,17.25,14,15.86,14.7,58.8,3.4,17.54,1.13,,,,
4721,美琪瑪  ,731191604,20808102,10860,35.13,38.15,30,34.23,31.4,58.15,4.77,29.93,2.41,,,,
4722,國精化學,364903746,20362993,5388,17.91,20,15.5,17.33,17.05,29.4,1.75,33.52,1.12,,,,
4733,上緯企業,532701327,7787827,4748,68.4,75,56.6,67.98,56.6,11.12,7.47,11.93,3.16,,,,
6509,聚和國際,1652424021,60990374,21012,27.09,30.4,22.7,26.15,23.45,34.49,2.94,40.8,1.44,,,,
1565,精華光學,983151374,5008881,4300,196.28,209.5,183,195.62,192,16.51,4.17,9.94,4.99,,,,
1752,南光    ,112417381,4315940,2266,26.04,28.8,22,25.6,22.5,38.14,4.44,6.85,1.73,,,,
1777,生泰合成,36242777,956471,653,37.89,39.7,34.4,37.99,35.2,17.51,5.11,4.02,2.04,,,,
1781,合世生醫,41991415,2546517,1372,16.48,17.5,14.8,16.21,15.4,NA,0,7.27,2.3,,,,
1784,訊聯    ,347810675,4943543,3527,70.35,75.8,60.2,70.24,62,18.4,2.04,11.49,2.83,,,,
1788,杏昌生技,342279540,5132802,3751,66.68,72.1,61.1,64.31,61.8,22.55,4.85,17.55,2.32,,,,
1795,美時化學,29907150,1075000,763,27.82,29,26.3,28.1,28.1,127.73,2.49,2.64,2.23,,,,
1799,紅電醫  ,61852221,2466409,1419,25.07,26.8,22.5,25.05,22.5,50,8,8.78,1.51,,,,
1813,寶利徠  ,890853227,18201086,10131,48.94,57.8,40.9,46.28,42.8,28.16,0,44.27,3.1,,,,
3118,進階    ,143028829,4046697,2026,35.34,37.45,30.8,34,31.3,23.53,5.75,13.09,2.21,,,,
3164,景岳科技,2651105095,38453918,21208,68.94,76,61.1,67.43,64,47.41,1.56,78.01,5.36,,,,
3205,佰研生化,74318158,2293993,1535,32.39,35.4,25.75,32.01,27.1,NA,0,15.59,2.93,,,,
3218,大學光學,256457041,6891321,3820,37.21,40.4,32.7,35.89,33,NA,3.03,15.22,2.13,,,,
3266,弘如洋  ,79228636,3914034,2045,20.24,22.2,18.4,20.04,18.6,NA,0,16.9,1.57,,,,
4102,永日化工,315913150,7857113,4441,40.2,44,34,40.16,35.2,18.62,1.42,23.77,2.5,,,,
4103,百略    ,435696078,8876013,4768,49.08,51.3,43,48.6,43.65,10.75,6.41,7.26,2.06,,,,
4105,東洋藥品,3218160548,34811064,22306,92.44,106,74.7,92.63,80,31.87,4.12,27.13,5.23,,,,
4107,邦特生技,1662114937,31699854,14015,52.43,55.9,44,51.3,45.6,20,3.28,40.5,2.96,,,,
