櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年06月 Jun. 10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 345,045,767,594元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,770,524筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,491,891,600股",,,,,,4. 成交量週轉率： 12.89%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
9960,邁達康  ,37158896,1251530,724,29.69,31.5,27,29.15,28.5,11.05,3.88,5,1.85,,,
1584,精剛精密,39600222,2406355,1193,16.45,17.95,15.4,15.96,16.15,N/A,0,4.13,1,,,
2221,大甲    ,17197120,1246365,566,13.79,14.8,13.1,13.87,13.5,N/A,10.9,2.94,1.15,,,
3284,太普高  ,571089892,22508783,7547,25.37,26.85,22.6,25.1,24.4,15.54,0,43.8,1.88,,,
3388,崇越電通,181592573,2435423,1696,74.56,77.9,71.1,74.52,72.8,10.4,4.02,4.37,1.74,,,
5312,寶島科  ,1647937394,21838769,12965,75.45,83.7,62.4,72.66,77.5,27.88,2.51,36.36,4.44,,,
6186,晶磊興業,104433582,4924971,2540,21.2,23.1,17.8,20.27,20,47.62,0,24.41,1.94,,,
6803,崑鼎投控,706906131,7368481,5654,95.93,109,89.7,94.17,91.5,12.66,6.44,14.11,2.83,,,
8390,金益鼎  ,77087716,1873744,1068,41.14,43.15,38,40.94,42,18.83,3.52,3.32,2.19,,,
8401,白紗科技,259025545,5220016,3276,49.62,53.1,45.2,48.87,47.5,18.55,2.15,15.59,2.74,,,
8705,東隆五金,19419294,612412,427,31.7,32.9,30.6,31.61,31.85,12.74,2.52,0.74,2.09,,,
8905,裕國    ,42806564,3242142,1445,13.2,14.3,12.55,13.09,12.6,12.86,1.54,2.71,0.94,,,
8906,花王企業,26408343,3847002,1222,6.86,7.43,6.5,6.87,6.96,N/A,0,7.5,0.78,,,
8913,華夏資融,522697391,19849991,9421,26.33,28.35,24,25.91,25.75,3.4,1.51,43.95,1.45,,,
8916,光隆    ,7023550,505000,211,13.9,14.4,13.35,13.94,13.8,7.58,3.62,0.58,0.69,,,
8921,沈氏印刷,18730833,1465433,470,12.78,13.55,12.3,12.66,12.35,16.69,4.74,3.15,0.73,,,
8923,時報出版,12061717,633679,344,19.03,20.4,17.5,19.05,19.1,13.17,5.12,2.09,1.28,,,
8924,大田精密,298265738,6982703,3863,42.71,45,38.8,41.86,39.1,18.36,6.26,5.76,1.98,,,
8925,偉盟工業,2818131083,109220662,30466,25.8,27.7,23.3,25.11,23.8,72.12,6.3,43.7,1.73,,,
8928,鉅明    ,16431848,1340220,558,12.26,12.8,11.5,12.3,12.2,N/A,6.5,2.11,1.05,,,
8929,富堡工業,55954158,1423844,940,39.29,41.8,35.9,38.98,37.5,8.01,0,5.65,2.08,,,
8932,宏大    ,24732454,2279349,925,10.85,12,10.05,10.8,10.15,15.86,0,4.67,1.18,,,
8933,愛地雅  ,304835202,17932886,7946,16.99,18.1,16.1,16.74,16.55,15.32,2.98,15.68,1.13,,,
8934,馭鳳    ,0,0,0,0,0,0,0,2.85,N/A,0,0,5.38,,,
8935,邦泰    ,136266910,12697340,3611,10.73,11.55,10.1,10.63,10.15,N/A,0,8.36,1.19,,,
8936,國統國際,830590222,26570874,11121,31.25,33.75,28.1,30.72,28.8,14.92,0,24.05,2.13,,,
8937,合騏    ,31225820,2412864,1003,12.94,14,11.6,12.43,12.35,N/A,0.76,3.33,1.03,,,
8938,明安國際,344786667,5922568,3490,58.21,60.6,55.8,58.3,57.8,13.38,5.56,4.51,1.99,,,
8942,森鉅科技,31732536,1308138,800,24.25,25.3,23,24.31,24.7,37.42,4.34,1.22,1.49,,,
9946,金革科技,21525283,1312909,482,16.39,17.45,14.9,16.32,17,94.44,0,1.88,1.96,,,
9949,琉園    ,96124864,3074052,1060,31.26,32.9,28.75,31.17,31.8,29.44,1.57,6.8,1.96,,,
1742,台蠟    ,77554305,1575657,1049,49.22,51.3,47.5,49.03,49,12.28,9.48,3.9,2.76,,,
1787,福盈科技,715184444,35801497,13155,19.97,21.8,17.75,19.29,21.15,27.47,4.65,54.64,1.39,,,
4702,中美聯合,82891246,6898546,2358,12.01,13.95,10,11.36,11,N/A,0,18.95,1.1,,,
4703,金美克能,17367583,2404601,786,7.22,7.65,6.95,7.19,7.06,44.13,0,3.52,1.1,,,
4706,大恭化學,43479530,2879435,1121,15.1,15.8,14.45,15.08,15.15,10.45,3.22,3.64,0.94,,,
4707,磐亞    ,62768529,5138740,1735,12.21,12.75,11.65,12.15,12,27.91,11.88,2.28,0.73,,,
