櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年08月 Aug. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 344,867,404,777元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,701,055筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,265,894,136股",,,,,,4. 成交量週轉率： 13.94%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8928,鉅明    ,18706379,2287909,790,8.17,9.09,6.71,7.72,7.35,N/A,6.8,3.6,0.86
8929,富堡工業,68070494,2339489,1272,29.09,33,25.15,28.7,31.05,11.46,5.79,8.56,1.65
8932,宏大    ,5545212,760709,338,7.28,7.97,6.71,7.39,7.52,N/A,0,1.56,0.89
8933,愛地雅  ,235342881,16901931,6238,13.92,16.45,12.5,13.9,13.15,22.67,7.6,13.75,0.96
8934,馭鳳    ,335142,85579,19,3.91,4.18,3.15,3.69,3.15,7.68,0,0.13,3.15
8935,邦泰    ,89004690,13351107,3434,6.66,8.23,5.82,6.66,6.1,N/A,0,6.61,0.72
8936,國統國際,994976048,25290521,12168,39.34,42.9,35,39.12,39.45,3.38,2.99,20.53,1.31
8937,合騏    ,106457100,6244255,2351,17.04,19.2,14.8,17.01,16.25,N/A,0,8.62,1.51
8938,明安國際,308140951,8652526,4719,35.61,41.45,31.5,35.33,34.2,26.72,7.6,6.41,1.34
8942,森鉅科技,2501938709,49620829,22249,50.42,61.5,40.85,49.6,45.5,19.04,2.1,39.04,2.39
9949,琉園    ,97027386,3736395,2347,25.96,30.7,22.1,26.02,25.5,56.67,4.7,7.95,1.54
1742,台蠟    ,124295816,3953741,2733,31.43,41.4,25.2,30.65,30.65,11.11,9.78,6.11,1.78
1787,福盈科技,51934318,4694626,1578,11.06,13.25,10,11.19,10.5,16.15,6.57,6.73,0.71
4702,中美聯合,452920824,16988344,6911,26.66,30,21.15,25.86,23.2,N/A,0,22.23,2.18
4703,金美克能,23437700,2873004,722,8.15,8.56,7.82,8.15,8.19,N/A,0,4.2,1.4
4706,大恭化學,17059027,1250795,379,13.63,15.15,12.75,13.86,13.5,13.37,7.4,1.58,0.86
4707,磐亞    ,298756262,19704895,6825,15.16,17.95,13.1,15.02,14.6,29.2,1.36,8.74,0.83
4711,永純    ,22168804,1150058,613,19.27,21,17.6,19.55,20.1,15.23,6.96,1.88,1.15
4712,南璋    ,1395039887,35714558,11534,39.06,43.7,34.1,38.57,38.1,381,0,59.44,3.57
4714,永捷    ,58360935,2916826,1143,20,21.9,17.7,19.68,19.45,13.7,5.14,6.87,1.32
4716,大立    ,285395821,13912897,5942,20.51,29.1,17.65,21.46,20.35,15.78,4.91,23.07,1.5
4720,德淵企業,64606567,4642617,1838,13.91,16.6,12.55,14.03,13.2,101.54,1.51,6.66,1.07
4721,美琪瑪  ,95495294,3600138,2211,26.52,29,22.4,26.85,23.6,10.4,10.04,4.8,1.71
4722,國精化學,719195063,29043388,9192,24.76,28,19.75,22.52,21.4,16.59,3.69,39.38,1.39
6506,雙邦實業,24401331,1640470,750,14.87,16.7,13.25,15.01,15.15,15.78,3.96,2.71,1.15
6509,聚和國際,349592523,23184542,8573,15.07,17.35,12.7,14.9,14.85,N/A,6.59,14.1,0.95
1565,精華光學,1854144963,4609746,4133,402.22,456.5,350,402.91,391.5,20.1,3.7,9.14,8.73
1752,南光    ,127265621,4595429,2731,27.69,31.75,24.55,27.63,26.8,167.5,0.74,7.29,2.08
1777,生泰合成,40315016,957387,701,42.1,48.4,38.5,42.6,43.8,16.98,5.25,4.03,2.42
1781,合世生醫,39545425,2564645,1383,15.41,18.35,13.85,15.34,14.2,N/A,0,6.1,1.53
1784,訊聯    ,240704001,5442100,3999,44.22,52.2,39.7,43.82,42.35,385,0,10.91,1.91
1788,杏昌生技,528581342,6425205,4467,82.26,101.5,71.4,83.54,81,16.23,4.32,21.97,2.82
1795,美時化學,137354443,4279175,2136,32.09,41.45,27,31.78,30.85,15.43,2.26,9.6,1.96
1799,紅電醫  ,9617816,695935,447,13.81,16.2,12.2,13.68,12.55,N/A,15.93,2.2,1.09
1813,寶利徠  ,100239332,2911472,1629,34.42,43.2,27.8,33.76,33.5,22.95,4.47,7.08,2.16
3118,進階    ,76631804,2481021,1482,30.88,40.2,26.1,30.85,32.1,14.39,6.23,7.64,2.12
3205,佰研生化,15941388,825717,392,19.3,20.8,18.15,19.53,20.6,N/A,0,3.34,1.82
3218,大學光學,402749071,11523886,6976,34.94,41.05,26.2,32.56,30.3,73.9,0,24.75,1.95
3266,昇陽開發,190828902,7782595,3105,24.51,28.9,20.55,23.96,22,8.56,3.63,9.36,1.62
4102,永日化工,1621945575,30860308,18511,52.55,84,38.95,56.21,46.15,16.08,4.33,72.83,2.42
4103,百略    ,149315409,3387366,2248,44.08,49.2,40,44.7,43.45,12.89,6.9,2.77,2.2
4105,東洋藥品,3115206100,26004197,17527,119.79,137,107,118.78,115.5,36.55,2.25,15.07,6.57
4107,邦特生技,420304808,14701939,6912,28.58,35.4,24.5,28.53,26.2,15.06,6.87,18.78,1.78
4109,加捷    ,108315645,5720038,2929,18.93,22.45,17.2,18.91,18.9,118.13,4.23,11.38,1.37
4111,濟生    ,116420638,5203753,2566,22.37,24.85,20,22.2,21,39.62,2.38,10.58,1.29
4114,健喬信元,139350836,4808450,2246,28.98,33.55,25.15,28.88,26.5,N/A,0,5.86,1.89
4120,友華生技,175455805,4273954,2464,41.05,49.2,37.5,41.65,40.35,11.83,1.61,4.93,1.66
4121,優盛醫學,55403231,3500151,1779,15.82,18.8,14.1,15.71,15,10.87,5.33,4.77,0.98
4123,晟德    ,170324313,4022631,2320,42.34,46.75,38,42.01,39.4,123.13,3.17,4.11,1.96
4126,太平洋醫,1067052075,10152315,7032,105.1,116.5,92.1,104.66,103.5,16.45,3.98,16.92,4.08
4127,天良    ,95176747,5374210,2811,17.7,21.75,15.85,17.63,17,N/A,1.17,11.74,1.12
4128,中天生技,1136910964,32993031,17537,34.45,38.9,29.9,34.57,33.8,11.05,7.39,12.05,1.49
4129,聯合骨科,312058707,8264049,4615,37.76,45.85,33.4,37.96,36.95,37.7,1.84,17.82,2.76
4131,晶宇生技,32436368,1826658,1111,17.75,23.65,14.2,18.17,15.5,N/A,0,3.78,2.51
4138,曜亞國際,797425497,5840964,4353,136.52,152.5,119.5,134.47,123,23.34,4.06,19.47,3.75
4139,KY馬光  ,49471920,563144,280,87.84,92,83.7,88.91,86.1,41,0.9,3.41,7.28
4735,豪展    ,83595807,5143612,2448,16.25,18.2,12.6,15.25,13.8,N/A,3.62,17.91,1.09
4736,泰博    ,121614177,2713897,1745,44.81,51.2,40.2,44.88,40.65,15.28,10.15,4.16,1.49
4911,德英    ,170403654,2509567,1985,67.9,74.5,58.5,67.84,67.3,N/A,0,4.56,4.47
8403,盛弘    ,60764242,1516577,1037,40.06,46.7,34.15,39.73,38.35,19.87,4.69,3.49,2.01
8908,欣雄    ,9083450,391580,288,23.19,25.15,21.55,23.28,23.95,15.86,5.84,0.5,1.88
8917,欣泰    ,823628,19110,20,43.09,46.85,40.95,43.71,43,17.55,5.11,0.02,2.77
8927,北基加油,27758136,1989817,603,13.95,15.1,12.5,14.05,15,N/A,3.33,1.81,1.36
8931,大園汽電,15322780,1176458,712,13.02,13.95,12,13.08,13,25,6.92,1.1,1
3073,普格    ,58265532,4510486,1746,12.91,14,11.35,12.86,12.85,N/A,1.4,9.25,0.88
3087,翔準    ,507110685,35709812,9348,14.2,16.2,12.4,14.3,14.25,14.39,0,12.53,0.98
3169,亞信電子,57069013,2376323,1463,24.01,28.1,20.2,24.7,26.85,13.1,9.31,4.48,1.86
3188,安茂    ,26633755,3328470,1290,8,9.1,7.02,7.83,8.48,N/A,0,7.07,0.88
3219,倚強科技,623001,144933,63,4.29,5,3.84,4.62,4.74,N/A,0,0.26,1.06
3227,原相科技,2303160980,33123106,22214,69.53,88.6,59,69,70.5,20.38,6.8,25.26,1.62
3228,金麗科  ,70658529,2647316,1686,26.69,32.35,23.75,26.62,25.9,N/A,0,4.48,2.44
3252,海灣科技,3075603,189448,109,16.23,17.6,14.6,16.28,15.65,4.48,0,0.38,3.82
3259,鑫創科技,42715002,2684600,1051,15.91,17.9,14.6,16.2,16.25,N/A,2.46,4.3,1.19
3260,威剛科技,884905702,30769398,13303,28.75,35.5,24.1,28.58,30.25,N/A,9.85,13.48,1.01
3264,欣銓科技,1792084143,91451539,26634,19.59,24.85,16.3,19.45,19.65,8.12,10.68,20.1,1.16
3265,台星科  ,503385307,25876094,10144,19.45,24.55,16.65,19.61,19.5,5.04,8.51,18.99,0.97
