櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年06月 Jun. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,341,054,350元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,553,086筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,178,032,248股",,,,,,4. 成交量週轉率： 12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
3205,佰研生化,15385115,786753,331,19.55,20.3,19,19.6,20.1,N/A,0,3.18,1.72
3218,大學光學,592472325,14927007,8723,39.69,42.8,35.25,38.5,37.1,1855.00,0,32.06,2.43
3266,弘如洋  ,111060077,4290232,2110,25.88,26.8,23.95,25.52,25.35,12.25,0,5.16,1.83
4102,永日化工,1069788982,13494643,9135,79.27,86,72,77.77,80.7,32.80,2.63,33.44,4.11
4103,百略    ,136772588,2743203,1904,49.85,53.2,46.1,49.79,50.9,15.52,6.18,2.24,2.26
4105,東洋藥品,3605552636,24447580,16525,147.48,159.5,132,147.66,145,58.94,2.06,17.48,8.97
4107,邦特生技,194985330,5261618,2958,37.05,40.3,33.8,37.29,36.15,17.81,5.62,6.72,2.22
4109,加捷    ,194841852,7517816,3910,25.91,29.4,22.7,25.68,23.75,125.00,3.36,14.95,1.74
4111,濟生    ,64149793,2708507,1530,23.68,24.8,22.7,23.68,23.5,44.34,2.37,5.51,1.42
4114,健喬信元,239408832,6711830,3908,35.66,37.3,33.1,34.89,35,700.00,0,8.18,2.37
4120,友華生技,279815203,5917562,3380,47.28,49.5,45.3,47.15,48.2,12.65,1.34,6.82,1.85
4121,優盛醫學,50437124,2697772,1601,18.69,20.9,16.75,18.63,17.9,11.62,2.94,3.83,1.15
4123,晟德    ,191382426,4194910,1955,45.62,47.4,44,45.23,45.45,116.54,5.55,4.82,2.28
4126,太平洋醫,1653091554,13663668,8047,120.98,132.5,105.5,120.83,114.5,19.05,3.16,22.77,4.32
4127,天良    ,127809932,5380607,2955,23.75,25.8,20.2,23.03,22.3,N/A,0.93,11.76,1.44
4128,中天生技,1206856266,29327551,15024,41.15,43.3,37.85,40.94,41.25,13.05,0,13.07,1.8
4129,聯合骨科,163542009,3327005,2304,49.15,51,46.5,49.03,49.65,50.15,1.88,7.18,3.55
4131,晶宇生技,41119438,1638221,1102,25.1,28.45,22.1,25.39,24.25,N/A,0,3.39,3.86
4138,曜亞國際,503413750,3139887,2589,160.32,169,148.5,159.16,168,32.94,3.19,11.85,4.59
4139,KY馬光  ,97847190,1098060,820,89.1,95,82.3,88.41,88.5,42.14,1,7.18,7.49
4736,泰博    ,313223616,4887635,3432,64.08,70.3,54,59.65,56.3,13.50,7.44,7.48,1.68
4911,德英    ,43051181,805444,548,53.45,57.2,50.1,53.95,53,N/A,0,1.46,3.51
8403,盛弘    ,54693560,1129769,858,48.41,50.7,45.05,48.39,47.6,17.50,3.75,2.68,2.37
8908,欣雄    ,2648807,125273,103,21.14,22.45,20.45,21.27,21.6,13.67,1.4,0.16,1.75
8917,欣泰    ,5041783,116083,47,43.43,44,43.1,43.46,44,17.19,4.59,0.11,2.68
8927,北基加油,43647445,2871320,790,15.2,16.3,14.05,15.28,14.4,130.91,3.47,2.6,1.29
8931,大園汽電,16663052,1118451,716,14.89,15.1,14.6,14.89,15,22.39,6.66,1.05,1.09
3073,普格    ,33377988,2362356,1031,14.12,15.6,12.6,14.37,13.5,N/A,1.36,4.84,0.91
3087,翔準    ,866431538,55207245,14950,15.69,17.1,14,15.18,15,14.71,0,19.37,1.05
3169,亞信電子,113166022,3106783,1964,36.42,39.9,30.15,35.45,31.6,12.85,7.69,5.86,1.9
