櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年09月 Sep.10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 515,562,430,247元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,945,715筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,962,323,819股",,,,,,4. 成交量週轉率： 18.66%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
1781,合世生醫,938455224,22942384,12379,40.9,45,34.5,40.49,40.2,25.77,0,62.66,4.58,,,
1784,訊聯    ,397300483,7513854,5046,52.87,57.1,47.3,52.23,53.4,N/A,3.84,16.84,2.79,,,
1788,杏昌生技,1293492907,13285067,8819,97.36,109,80.5,95.85,109,24.33,2.93,45.42,3.99,,,
1795,美時化學,992625521,15613902,8947,63.57,68.9,59.5,62.56,64.5,496.15,1.15,36.15,4.54,,,
1799,紅電醫  ,204437009,7809149,4247,26.17,28.4,23.8,25.33,26.9,27.17,8,25.26,1.7,,,
1813,寶利徠  ,123606532,2800850,1860,44.13,46.8,42.6,43.67,42.95,24.27,2.31,6.81,2.76,,,
3118,進階    ,2604472732,42904039,23664,60.7,66.6,49,59.89,60.7,27.22,2.45,138.81,4.23,,,
3205,佰研生化,15339516,567793,439,27.01,28.5,25.5,26.93,26.85,N/A,0,3.86,3.56,,,
3218,大學光學,125203204,4248030,2668,29.47,31.45,26.8,28.34,29,N/A,0,9.38,2,,,
3266,弘如洋  ,388050906,13660149,7048,28.4,31.2,24.6,27.09,25.9,N/A,0,16.43,2.19,,,
4102,永日化工,2288974458,39429874,20913,58.05,62.4,49.6,56.94,60.5,26.54,3.22,108.46,4.18,,,
4103,百略    ,1024164876,19123590,11448,53.55,57.9,46.6,52.71,54.3,11.46,5.68,15.65,2.64,,,
4105,東洋藥品,9280080044,69485349,37086,133.55,158,104.5,133.42,151,47.78,2.07,49.69,9.05,,,
4107,邦特生技,2935454984,59758526,28816,49.12,53,44.1,47.65,50.1,22.77,4.06,76.34,3.24,,,
4109,加捷    ,408582303,16032185,7116,25.48,26.5,23.05,24.95,25.8,53.75,3.04,34.73,2.04,,,
4111,濟生    ,617590790,22424824,10643,27.54,29.05,25.9,27.27,27.4,43.49,2.02,45.59,1.65,,,
4114,健喬信元,425221378,11594185,6429,36.67,38,34.45,36.35,36.9,62.54,0,14.52,2.55,,,
4120,友華生技,1051720158,18707113,11639,56.22,61.2,50.8,53.88,59.7,15.67,3.94,23.06,2.07,,,
4121,優盛醫學,760629799,35801936,14243,21.24,23.25,18.5,20.46,22.35,15.74,2.43,50.79,1.33,,,
4123,晟德    ,1743604494,35760497,17293,48.75,54,40.2,44.75,51.2,40.31,5.12,41.07,2.16,,,
4126,太平洋醫,1258295277,13117962,7243,95.92,102,87.8,95.21,99.9,38.77,0.8,21.37,5.71,,,
4127,天良    ,1824803950,48501825,24193,37.62,39.35,34.5,37.09,37.8,32.31,0.52,105.99,2.18,,,
4128,中天生技,4098406775,75532903,37941,54.25,56.2,50.5,53.61,54,186.21,0,33.68,2.71,,,
4129,聯合骨科,1784541872,29961867,18664,59.56,62.9,54.1,58.54,59.4,79.20,1.6,64.63,4.31,,,
4131,晶宇生技,264220423,6582207,4333,40.14,43,38,39.35,38.95,N/A,0,13.63,5.75,,,
8908,欣雄    ,7340887,412916,345,17.77,18.9,17,17.86,17.5,19.02,1.71,0.53,1.52,,,
8917,欣泰    ,12938484,310016,53,41.73,42.5,40.65,41.9,41.95,18.24,4.76,0.29,2.74,,,
8927,北基加油,111698681,6823431,2471,16.36,17.45,15,16.25,16.25,45.14,3.06,6.29,1.4,,,
8931,大園汽電,34928122,2318930,926,15.06,15.7,14.75,15.04,15.2,10.70,6.57,2.17,1.11,,,
3073,普格    ,89523098,3336134,1962,26.83,28.9,25.5,26.49,26.75,N/A,0.67,6.87,1.52,,,
