櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年7月 Jul., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 169,699,787,272元",,,,,,"3. 櫃檯買賣月總成交筆數： 1,997,256筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,331,731,279股",,,,,,4. 成交量週轉率： 6.43%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8423,F-保綠  ,17032527,578732,353,29.43,33.1,26.3,29.82,31.8,29.44,0,3.45,2.03
8426,F-紅木  ,13170002,293686,197,44.84,49.4,40.3,43.69,42.55,10.33,8.22,0.7,2.33
8705,東隆五金,95780794,2353789,884,40.69,41.05,40.5,40.67,40.85,23.89,4.4,2.9,2.68
8905,裕國    ,68388800,3976315,1258,17.19,18.1,16,16.95,17.5,35.71,3.42,3.33,1.2
8906,花王企業,7374578,961408,461,7.67,8.76,7.19,7.56,7.43,185.75,0,1.87,0.87
8913,華夏資融,81857501,6624011,1639,12.35,13.25,11.35,12.27,12.3,11.39,3.25,13.33,0.79
8916,光隆    ,13284800,728000,322,18.24,18.95,17.75,18.26,18.95,10.36,5.8,0.81,0.92
8921,沈氏印刷,80233,5118,18,16.07,16.2,16,16.1,16.1,15.33,4.96,0.01,0.91
8923,時報出版,1294528,75404,53,17.17,17.4,16.55,17.07,17.2,16.38,5.81,0.25,1.16
8924,大田精密,15035891,746871,407,20.13,20.5,19.7,20.13,20.4,58.29,2.94,0.62,1.15
8925,偉盟工業,1081731620,69666327,8118,15.52,16.3,15,15.52,16.05,N/A,1.24,24.34,1.26
8928,鉅明    ,8569163,1010109,283,8.48,9.02,8.18,8.49,8.3,22.43,0,1.59,0.85
8929,富堡工業,91258996,2763315,1785,33.02,35.7,28.3,31,28.55,8.7,6.3,10.11,1.35
8932,宏大    ,3065210,456011,137,6.72,7.31,6.36,6.92,6.7,N/A,0,0.93,0.78
8933,愛地雅  ,106537820,10258306,3493,10.38,11,9.63,10.09,10.15,14.93,7.78,7.88,0.73
8934,衡平    ,344084,8682,13,39.47,42,37.65,39.73,37.65,4.55,0,0.17,2.54
8935,邦泰    ,26361935,6538008,1114,4.03,4.49,3.9,4.07,3.97,N/A,0,3.24,0.51
8936,國統國際,421812878,13781724,6387,30.6,31.95,29.6,30.42,30.9,23.23,3.88,10.11,1.13
8937,合騏    ,9526944,960350,390,9.92,10.4,9.01,9.88,9.68,N/A,0,1.33,0.9
8938,明安國際,122769776,3332910,1953,36.83,38,35.5,36.62,37.35,16.75,2.94,2.48,1.37
8942,森鉅科技,1231188657,21732432,9404,56.65,62.2,52.4,56.7,56.3,13.9,3.64,15.02,2.52
