公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
2028,威致鋼鐵,605015,403664,49.88 ,586097,3.23 ,4226191,3548573,19.10 ,9.5,6.98,36.10 
2029,盛餘,1282028,1438030,-10.85 ,1310616,-2.18 ,10973455,8811088,24.54 ,21.6,23.15,-6.70 
2030,彰源,1177115,998503,17.89 ,615513,91.24 ,7986123,4132307,93.26 ,15.05,15.9,-5.35 
2031,新光鋼,882855,781321,13.00 ,495509,78.17 ,5925361,3171971,86.80 ,27,24.95,8.22 
2032,新鋼工業,499581,441085,13.26 ,386307,29.32 ,3431105,2460210,39.46 ,17.5,14.2,23.24 
2033,佳大世界,69175,73275,-5.60 ,76953,-10.11 ,721638,449231,60.64 ,17.15,21.75,-21.15 
2034,允強,1815035,1681476,7.94 ,1381059,31.42 ,14104801,7351694,91.86 ,22.2,26.75,-17.01 
2038,海光企業,843214,891794,-5.45 ,890866,-5.35 ,7839957,6259431,25.25 ,15.3,19.7,-22.34 
2049,上銀科技,754035,688741,9.48 ,285268,164.33 ,4760441,1840640,158.63 ,72.2,26.5,172.45 
2059,川湖,150188,163890,-8.36 ,167897,-10.55 ,1330177,1241077,7.18 ,142,163.5,-13.15 
2062,橋椿,359897,390060,-7.73 ,285373,26.11 ,2911304,2467387,17.99 ,37.6,25.8,45.74 
2101,南港輪胎,519629,510027,1.88 ,329693,57.61 ,3675262,2414592,52.21 ,42.2,31.1,35.69 
2102,泰豐輪胎,517553,479953,7.83 ,376723,37.38 ,3927218,2624208,49.65 ,19.85,15.45,28.48 
2103,台橡,1185851,1135584,4.43 ,862782,37.45 ,9651072,6505162,48.36 ,46.75,37.85,23.51 
2104,中橡,499273,496611,0.54 ,423145,17.99 ,3807031,2568510,48.22 ,29.3,30.95,-5.33 
2105,正新,1755025,1667655,5.24 ,1404843,24.93 ,13355794,10213784,30.76 ,65.1,62.8,3.66 
2106,建大,464656,483446,-3.89 ,408533,13.74 ,3492891,2941916,18.73 ,33.5,40.2,-16.67 
2107,厚生,311483,298379,4.39 ,253745,22.75 ,2636859,1954445,34.92 ,23.5,18.3,28.42 
2108,南帝化工,344835,369695,-6.72 ,289724,19.02 ,2994846,2078584,44.08 ,21,24.25,-13.40 
2109,華豐橡膠,221036,244987,-9.78 ,203776,8.47 ,1806529,1501971,20.28 ,11.6,11.1,4.50 
2201,裕隆汽車,2620978,3394233,-22.78 ,1191069,120.05 ,20170126,12120131,66.42 ,46.7,28.8,62.15 
2204,中華汽車,2216867,2962046,-25.16 ,2141270,3.53 ,20989957,16902616,24.18 ,19.05,18.15,4.96 
2206,三陽工業,1689849,1707718,-1.05 ,1230482,37.33 ,12751611,12265555,3.96 ,15.5,12.55,23.51 
2207,和泰汽車,3076669,6194645,-50.33 ,4812823,-36.07 ,51980732,44048008,18.01 ,87.9,74.1,18.62 
2208,台船公司,2159218,2161242,-0.09 ,2208480,-2.23 ,16715668,21803131,-23.33 ,26.3,32.45,-18.95 
2227,裕隆日產,1801399,2459831,-26.77 ,1365258,31.95 ,18160564,12928792,40.47 ,85.9,71.6,19.97 
2301,光寶科技,8575872,8694181,-1.36 ,7003469,22.45 ,68309012,49239767,38.73 ,36.9,36.9,0.00 
2302,麗正,26629,27487,-3.12 ,37416,-28.83 ,225988,191953,17.73 ,7.36,2.95,149.49 
2303,聯電,10885880,10821572,0.59 ,9061502,20.13 ,78167762,51337437,52.26 ,13,13.5,-3.70 
2305,全友電腦,14962,16465,-9.13 ,15036,-0.49 ,127036,151266,-16.02 ,4.69,3.19,47.02 
