公  司  編  號,公    司           名    稱,營        業        額        (單位：仟元),,,,,累 計 營 業 額 (單位：仟元),,,各 股 月 底 股 價 (單位：元),,
1727,中華化學,169789,167401,1.43 ,171359,-0.92 ,1876342,1608910,16.62 ,16.40 ,25.10 ,-34.66 
1729,必翔實業,89988,109264,-17.64 ,111346,-19.18 ,1126280,1288729,-12.61 ,34.70 ,45.60 ,-23.90 
1730,花仙子,95296,103360,-7.80 ,92156,3.41 ,963234,900615,6.95 ,15.75 ,18.70 ,-15.78 
1731,美吾華,168590,183468,-8.11 ,143059,17.85 ,2049023,1914257,7.04 ,10.70 ,16.70 ,-35.93 
1732,毛寶,47192,46000,2.59 ,53225,-11.33 ,639635,658834,-2.91 ,14.60 ,15.80 ,-7.59 
1733,五鼎,165911,178039,-6.81 ,151500,9.51 ,1722667,1632282,5.54 ,61.60 ,77.10 ,-20.10 
1734,杏輝藥品,127194,133580,-4.78 ,132599,-4.08 ,1439754,1438643,0.08 ,21.90 ,38.00 ,-42.37 
1735,日勝化,164241,200644,-18.14 ,219434,-25.15 ,1821504,2214584,-17.75 ,9.37 ,13.85 ,-32.35 
1736,喬山健康,1203823,1391636,-13.50 ,839635,43.37 ,8152854,7169490,13.72 ,50.90 ,44.90 ,13.36 
1737,臺鹽,181726,186192,-2.40 ,153809,18.15 ,2133475,1943746,9.76 ,21.95 ,22.90 ,-4.15 
1762,中化合成,105601,115521,-8.59 ,104272,1.27 ,1084646,1113200,-2.57 ,49.60 ,0.00 ,NA
1773,勝一化工,518694,527153,-1.60 ,564414,-8.10 ,6067710,5818671,4.28 ,32.80 ,44.00 ,-25.45 
1789,台灣神隆,331032,262182,26.26 ,290418,13.98 ,3414514,3384543,0.89 ,41.20 ,0.00 ,NA
1802,台玻,1016926,1014643,0.23 ,1133101,-10.25 ,13162027,14429819,-8.79 ,29.55 ,35.55 ,-16.88 
1805,寶徠,169561,138961,22.02 ,56451,200.37 ,1228545,268767,357.10 ,14.80 ,10.00 ,48.00 
1806,冠軍,272796,262699,3.84 ,222990,22.34 ,2670898,2315502,15.35 ,12.80 ,23.25 ,-44.95 
1808,潤隆,323654,373828,-13.42 ,112528,187.62 ,2118653,1263396,67.70 ,30.45 ,30.10 ,1.16 
1809,中釉,122800,150396,-18.35 ,127817,-3.93 ,1462665,1464151,-0.10 ,11.45 ,26.65 ,-57.04 
1810,和成,336203,243298,38.19 ,253075,32.85 ,2725459,2562383,6.36 ,7.07 ,11.20 ,-36.88 
1902,台紙,380026,403772,-5.88 ,427984,-11.21 ,4782889,4638840,3.11 ,9.14 ,18.00 ,-49.22 
1903,士紙,175761,217805,-19.30 ,192867,-8.87 ,2187645,1967798,11.17 ,42.75 ,75.00 ,-43.00 
1904,正隆,2109505,2105251,0.20 ,2009687,4.97 ,22081139,21083152,4.73 ,11.35 ,13.55 ,-16.24 
1905,華紙,486962,469704,3.67 ,562135,-13.37 ,5684888,6284062,-9.53 ,9.15 ,15.20 ,-39.80 
1906,寶隆,29141,45023,-35.28 ,3500,732.60 ,380025,251126,51.33 ,6.80 ,8.32 ,-18.27 
1907,永豐餘,1483961,1479093,0.33 ,1578812,-6.01 ,16463386,16485522,-0.13 ,11.85 ,13.95 ,-15.05 
1909,榮成,564320,557562,1.21 ,564697,-0.07 ,6336366,5695141,11.26 ,8.50 ,11.10 ,-23.42 
2002,中鋼,20459607,19593035,4.42 ,21036268,-2.74 ,222058944,219542487,1.15 ,29.10 ,31.35 ,-7.18 
2006,東和鋼鐵,2805372,3468580,-19.12 ,2677925,4.76 ,35144141,29382835,19.61 ,26.10 ,28.35 ,-7.94 
2007,燁興公司,626516,641034,-2.26 ,1124644,-44.29 ,9592973,9603461,-0.11 ,4.41 ,7.40 ,-40.41 
2008,高興昌,389829,270189,44.28 ,510362,-23.62 ,4834015,6221144,-22.30 ,4.28 ,6.89 ,-37.88 
2009,第一伸銅,336143,290777,15.60 ,452310,-25.68 ,5164011,6108571,-15.46 ,7.93 ,13.50 ,-41.26 
2010,春源鋼鐵,1600034,1498905,6.75 ,1232001,29.87 ,16190140,13468389,20.21 ,11.40 ,14.45 ,-21.11 
2012,春雨,347357,332233,4.55 ,282422,22.99 ,4178966,3172324,31.73 ,8.90 ,9.06 ,-1.77 
2013,中鋼構,1050867,982069,7.01 ,844849,24.39 ,12322378,8033825,53.38 ,27.80 ,23.05 ,20.61 
2014,中鴻,2793294,4270448,-34.59 ,4340047,-35.64 ,42403562,38628166,9.77 ,8.90 ,15.20 ,-41.45 
2015,豐興鋼鐵,3355053,3424357,-2.02 ,3051463,9.95 ,35269023,30620313,15.18 ,47.25 ,51.00 ,-7.35 
2017,官田鋼,427320,496564,-13.94 ,444022,-3.76 ,5846796,4941374,18.32 ,5.92 ,10.40 ,-43.08 
